Date,SpecialSale,MonthlyNPS,WeekNum,WeekDay,WeekDayName,IndiaHolidays,ME_InternetUsers%,ME_MobileUsersPer100
1/1/2015,,,1,4,Thursday,1,26,78.06172564
1/2/2015,,,1,5,Friday,,26,78.06172564
1/3/2015,,,1,6,Saturday,,26,78.06172564
1/4/2015,,,2,7,Sunday,1,26,78.06172564
1/5/2015,,,2,1,Monday,,26,78.06172564
1/6/2015,,,2,2,Tuesday,,26,78.06172564
1/7/2015,,,2,3,Wednesday,,26,78.06172564
1/8/2015,,,2,4,Thursday,,26,78.06172564
1/9/2015,,,2,5,Friday,,26,78.06172564
1/10/2015,,,2,6,Saturday,,26,78.06172564
1/11/2015,,,3,7,Sunday,,26,78.06172564
1/12/2015,,,3,1,Monday,,26,78.06172564
1/13/2015,,,3,2,Tuesday,,26,78.06172564
1/14/2015,,,3,3,Wednesday,1,26,78.06172564
1/15/2015,,,3,4,Thursday,1,26,78.06172564
1/16/2015,,,3,5,Friday,,26,78.06172564
1/17/2015,,,3,6,Saturday,,26,78.06172564
1/18/2015,,,4,7,Sunday,,26,78.06172564
1/19/2015,,,4,1,Monday,,26,78.06172564
1/20/2015,,,4,2,Tuesday,,26,78.06172564
1/21/2015,,,4,3,Wednesday,,26,78.06172564
1/22/2015,,,4,4,Thursday,,26,78.06172564
1/23/2015,,,4,5,Friday,,26,78.06172564
1/24/2015,,,4,6,Saturday,1,26,78.06172564
1/25/2015,,,5,7,Sunday,,26,78.06172564
1/26/2015,,,5,1,Monday,1,26,78.06172564
1/27/2015,,,5,2,Tuesday,,26,78.06172564
1/28/2015,,,5,3,Wednesday,,26,78.06172564
1/29/2015,,,5,4,Thursday,,26,78.06172564
1/30/2015,,,5,5,Friday,,26,78.06172564
1/31/2015,,,5,6,Saturday,,26,78.06172564
2/1/2015,,,6,7,Sunday,,26,78.06172564
2/2/2015,,,6,1,Monday,,26,78.06172564
2/3/2015,,,6,2,Tuesday,1,26,78.06172564
2/4/2015,,,6,3,Wednesday,,26,78.06172564
2/5/2015,,,6,4,Thursday,,26,78.06172564
2/6/2015,,,6,5,Friday,,26,78.06172564
2/7/2015,,,6,6,Saturday,,26,78.06172564
