Solve.Maths,Maths..
Agree,NA
Agree,NA
Agree,NA
Disagree,29.82
Neither,NA
Neither,NA
Disagree,NA
Disagree,NA
Agree,NA
Agree,NA
Disagree,NA
Agree,NA
Agree,30.51
Agree,21.05
Agree,NA
Agree,NA
Neither,NA
Agree,NA
Agree,19.3
Disagree,NA
Agree,NA
Disagree,NA
Disagree,23.73
Disagree,26.32
Disagree,NA
Agree,NA
Disagree,NA
Agree,NA
Disagree,NA
Disagree,NA
Agree,22.03
Agree,26.32
Disagree,NA
Agree,NA
Disagree,NA
Agree,NA
Disagree,NA
Disagree,NA
Disagree,28.81
Neither,22.81
Disagree,NA
Disagree,NA
Disagree,NA
Disagree,NA
Disagree,NA
Disagree,NA
Disagree,18.64
Disagree,22.81
Disagree,NA
Agree,NA
Disagree,NA
Disagree,NA
Disagree,NA
Disagree,NA
Disagree,25.42
Disagree,31.58
Disagree,NA
Disagree,NA
Disagree,NA
Disagree,NA
Disagree,NA
Disagree,NA
Agree,13.56
Agree,15.79
Disagree,NA
Agree,NA
Agree,NA
Disagree,NA
Disagree,NA
Disagree,NA
Agree,15.25
Agree,8.77
Neither,NA
Agree,NA
Agree,NA
Agree,NA
Agree,NA
Agree,NA
Agree,NA
Agree,NA
Agree,20.34
Agree,29.82
Neither,NA
Agree,NA
Neither,NA
Neither,NA
Agree,NA
Neither,NA
Neither,30.51
Neither,35.09
Neither,NA
Neither,NA
Neither,45.76
Agree,42.11
Agree,NA
Agree,NA
Agree,NA
Neither,NA
Neither,NA
Disagree,NA
Disagree,30.51
Disagree,29.82
Disagree,NA
Disagree,NA
Disagree,NA
Disagree,NA
Disagree,NA
Agree,NA
Agree,44.07
Agree,49.12
Agree,NA
Agree,NA
Agree,NA
Agree,NA
Agree,NA
Agree,NA
Agree,50.85
Agree,80.7
Agree,NA
Agree,NA
Agree,NA
Agree,NA
Agree,NA
Agree,NA
Agree,40.68
Agree,64.91
Agree,NA
Agree,NA
Agree,NA
Agree,NA
Agree,74.58
Agree,71.93
Agree,NA
Disagree,NA
Agree,72.88
Agree,73.68
Agree,NA
Disagree,NA
Agree,75.44
Agree,NA
Agree,NA
Agree,76.27
Agree,68.42
Agree,NA
Agree,NA
Agree,81.36
Agree,NA
Agree,NA
Disagree,76.27
Agree,70.18
Neither,NA
Agree,NA
Agree,79.66
Agree,68.42
Agree,NA
Agree,76.27
Agree,NA
Agree,NA
Agree,NA
Agree,77.97
Agree,68.42
Agree,NA
Agree,81.36
Agree,71.93
Agree,NA
Agree,NA
Agree,74.58
Agree,75.44
Agree,NA
Agree,NA
Disagree,NA
Disagree,NA
Disagree,20.34
Disagree,8.77
Disagree,NA
Disagree,NA
Disagree,NA
Disagree,NA
Disagree,NA
Disagree,NA
Disagree,8.47
Disagree,7.02
Disagree,NA
Disagree,NA
Disagree,NA
Disagree,NA
Disagree,NA
Disagree,NA
Disagree,45.76
Disagree,43.86
Disagree,NA
Disagree,NA
Disagree,NA
Disagree,NA
Disagree,NA
Disagree,NA
Disagree,44.07
Agree,NA
Agree,27.12
Agree,NA
Agree,NA
Agree,NA
Agree,20.34
Agree,NA
Agree,NA
Agree,NA
Agree,25.42
Agree,NA
Agree,NA
Agree,NA
Neither,23.73
Agree,NA
Agree,NA
Agree,NA
Agree,22.03
Agree,NA
Agree,NA
Agree,NA
Agree,22.03
Agree,NA
Agree,NA
Agree,33.9
Agree,NA
Agree,NA
Agree,NA
Agree,25.42
Agree,NA
Agree,NA
Disagree,NA
Agree,35.59
Agree,NA
Agree,NA
Agree,NA
Agree,18.64
Agree,NA
Agree,NA
Agree,NA
Neither,29.82
Neither,NA
Neither,NA
Neither,NA
Neither,24.56
Neither,NA
Neither,NA
Agree,40.35
Neither,NA
Neither,NA
Neither,NA
Neither,31.58
Neither,NA
Agree,NA
Neither,NA
Agree,NA
Agree,26.32
Neither,NA
Agree,NA
Disagree,NA
Disagree,28.07
Neither,NA
Neither,NA
Agree,NA
Neither,19.3
Agree,NA
Agree,NA
Agree,NA
Neither,17.54
Disagree,NA
Agree,NA
Agree,NA
Neither,14.04
Agree,NA
Neither,NA
Agree,NA
Agree,22.81
Neither,NA
Agree,NA
Agree,NA
Agree,42.37
Neither,55.93
Disagree,57.63
Neither,62.71
Neither,50.85
Neither,67.8
Neither,52.54
Neither,55.93
Neither,24.56
Neither,19.3
Neither,12.28
Neither,28.07
Neither,36.84
Neither,59.65
Neither,52.63
