                           car_ID     symboling    fueltype   aspiration   doornumber enginelocation
car_ID                1.000000000 -0.1516211373  0.12556815 -0.067728820  0.190351530   -0.051483360
symboling            -0.151621137  1.0000000000 -0.19431094  0.059866047 -0.664073452   -0.212470935
fueltype              0.125568152 -0.1943109388  1.00000000 -0.401397228  0.191490535    0.040069514
aspiration           -0.067728820  0.0598660468 -0.40139723  1.000000000 -0.031791755   -0.057191457
doornumber            0.190351530 -0.6640734518  0.19149054 -0.031791755  1.000000000    0.137756661
enginelocation       -0.051483360 -0.2124709350  0.04006951 -0.057191457  0.137756661    1.000000000
wheelbase             0.129728783 -0.5319536816  0.30834586 -0.257610864  0.447356740    0.187790244
carlength             0.170636393 -0.3576115226  0.21267882 -0.234539033  0.398567804    0.050988541
carwidth              0.052386605 -0.2329190610  0.23387981 -0.300567369  0.207168219    0.051697642
carheight             0.255960042 -0.5410381998  0.28463106 -0.087311093  0.552207948    0.106234249
curbweight            0.071961564 -0.2276905885  0.21727532 -0.324901882  0.197379420   -0.050468195
enginesize           -0.033929840 -0.1057897093  0.06959429 -0.108217404  0.020741830   -0.196826304
boreratio             0.260063680 -0.1300513597  0.05445103 -0.212614195  0.119258224   -0.185041942
stroke               -0.160823619 -0.0087351407  0.24182882 -0.222982177 -0.011081644    0.138455489
compressionratio      0.150275906 -0.1785150844  0.98435606 -0.295540772  0.177888309    0.019762005
horsepower           -0.015005567  0.0708727240 -0.16392617 -0.241685250 -0.126946942   -0.317839355
peakrpm              -0.203789200  0.2736062451 -0.47688264  0.183382835 -0.247668178   -0.198460847
citympg               0.015940037 -0.0358226279  0.25596256  0.202361877 -0.012416654    0.153487457
highwaympg            0.011255318  0.0346060007  0.19139191  0.254416470 -0.036329848    0.102026213
price                -0.109093339 -0.0799782246  0.10567948 -0.177926225  0.031835266   -0.324973301
carbodyhardtop        0.077895956  0.1688445438  0.01863518  0.029074201 -0.227792566   -0.394977981
carbodyhatchback     -0.111425362  0.4356481374 -0.20209294 -0.009785654 -0.606687674    0.087754032
carbodysedan         -0.014702225 -0.3783410334  0.18562320 -0.017110973  0.515045681    0.114368733
carbodywagon          0.150386899 -0.2982425115  0.02818323 -0.018907680  0.329690237    0.045417026
carbodyconvertible   -0.024451740  0.2794396198 -0.05709239  0.081488309 -0.196280318   -0.219838186
drivewheelfwd        -0.101394516  0.1028388489 -0.09034249  0.145680828  0.033577537    0.144799180
drivewheelrwd         0.081235757 -0.0763811597  0.12203512 -0.112470173 -0.073957879   -0.158771666
drivewheel4wd         0.052304131 -0.0672219670 -0.07045671 -0.085161699  0.093613940    0.026114286
enginetypedohcv       0.031944097  0.0093474995 -0.02302046  0.032857244 -0.079143013    0.008532374
enginetypel           0.009129479 -0.1339786174  0.26816341 -0.207156119  0.178718125    0.030387636
enginetypeohc        -0.087575091 -0.0828546913  0.02058395  0.020161789  0.021403832    0.196371462
enginetypeohcf        0.181373620  0.0375127897 -0.09238426  0.034450067  0.022094727   -0.433726656
enginetypeohcv       -0.054794208 -0.0135973861 -0.08555595  0.070069866 -0.052137885    0.031710713
enginetyperotor      -0.108463919  0.2459498451 -0.04638324  0.066203079 -0.159462891    0.017191624
enginetypedohc        0.068119960  0.1169253098 -0.08198627  0.008960952 -0.072508497    0.030387636
cylindernumberfive   -0.226064931 -0.0901882153  0.21352719 -0.225968095  0.079792833    0.029018865
cylindernumberfour    0.230587259 -0.0341607246 -0.02018417 -0.009195148  0.066087632    0.226571140
cylindernumbersix    -0.035637877 -0.0002383124 -0.06859413  0.091987218 -0.014167999   -0.334671407
cylindernumberthree  -0.099381634  0.0657074228 -0.02302046  0.032857244 -0.079143013    0.008532374
cylindernumbertwelve -0.062705078 -0.0470124239 -0.02302046  0.032857244 -0.079143013    0.008532374
