                        fueltype   aspiration   doornumber enginelocation    wheelbase    carlength
fueltype              1.00000000 -0.401397228  0.191490535    0.040069514  0.308345862  0.212678822
aspiration           -0.40139723  1.000000000 -0.031791755   -0.057191457 -0.257610864 -0.234539033
doornumber            0.19149054 -0.031791755  1.000000000    0.137756661  0.447356740  0.398567804
enginelocation        0.04006951 -0.057191457  0.137756661    1.000000000  0.187790244  0.050988541
wheelbase             0.30834586 -0.257610864  0.447356740    0.187790244  1.000000000  0.874587476
carlength             0.21267882 -0.234539033  0.398567804    0.050988541  0.874587476  1.000000000
carwidth              0.23387981 -0.300567369  0.207168219    0.051697642  0.795143644  0.841118268
carheight             0.28463106 -0.087311093  0.552207948    0.106234249  0.589434762  0.491029458
curbweight            0.22555901 -0.349509468  0.200898935   -0.057974177  0.765488751  0.879710217
enginesize            0.12007277 -0.182796266  0.037193554   -0.264248466  0.552466583  0.699986969
boreratio             0.05445103 -0.212614195  0.119258224   -0.185041942  0.488749875  0.606454358
stroke                0.24182882 -0.222982177 -0.011081644    0.138455489  0.160959047  0.129532611
compressionratio      0.69242146  0.112413291  0.093014276   -0.060034347  0.041848435 -0.031987234
horsepower           -0.17136124 -0.310387133 -0.088613782   -0.225992927  0.417230855  0.614634794
peakrpm              -0.50225528  0.179074728 -0.230415199   -0.191933657 -0.357156880 -0.278963382
citympg               0.25939975  0.204257357  0.011008811    0.159927681 -0.464306730 -0.666599602
highwaympg            0.17311971  0.259300192 -0.019798408    0.106118253 -0.548525138 -0.710789592
price                 0.10567948 -0.177926225  0.031835266   -0.324973301  0.577815598  0.682920016
carbodyhardtop        0.01863518  0.029074201 -0.227792566   -0.394977981 -0.008607579  0.047291821
carbodyhatchback     -0.20209294 -0.009785654 -0.606687674    0.087754032 -0.386093732 -0.436268753
carbodysedan          0.18562320 -0.017110973  0.515045681    0.114368733  0.291085508  0.269646615
carbodywagon          0.02818323 -0.018907680  0.329690237    0.045417026  0.210899313  0.219683396
carbodyconvertible   -0.05709239  0.081488309 -0.196280318   -0.219838186 -0.175070996 -0.051722078
symboling2            0.15157170 -0.165115430  0.306731325    0.042254283  0.422022185  0.311840785
symboling3            0.15643837  0.029547148  0.469719291    0.084914685  0.274072418  0.248856530
symboling4           -0.15930222  0.079080160 -0.229681982    0.072877480 -0.283085488 -0.360253311
symboling5           -0.00552384  0.131943323 -0.215337362    0.052412742 -0.180356623 -0.171754513
symboling6           -0.12805632 -0.117276405 -0.440250184   -0.312905403 -0.244038269 -0.028868150
symboling1           -0.04006951 -0.048432405  0.107809561    0.014851485  0.112460389  0.146063140
drivewheelfwd        -0.09034249  0.145680828  0.033577537    0.144799180 -0.460355093 -0.508713892
drivewheelrwd         0.12203512 -0.112470173 -0.073957879   -0.158771666  0.498829873  0.538370342
drivewheel4wd        -0.07045671 -0.085161699  0.093613940    0.026114286 -0.069003084 -0.045934185
enginetypedohcv      -0.02302046  0.032857244 -0.079143013    0.008532374 -0.004156097  0.009390820
enginetypel           0.26816341 -0.207156119  0.178718125    0.030387636  0.399603095  0.261715321
enginetypeohc         0.02058395  0.020161789  0.021403832    0.196371462 -0.204037283 -0.274412584
enginetypeohcf       -0.09238426  0.034450067  0.022094727   -0.433726656 -0.183195035 -0.118320169
enginetypeohcv       -0.08555595  0.070069866 -0.052137885    0.031710713  0.166151970  0.244052559
enginetyperotor      -0.04638324  0.066203079 -0.159462891    0.017191624 -0.081173921 -0.057876537
enginetypedohc       -0.08198627  0.008960952 -0.072508497    0.030387636  0.069601249  0.171217601
cylindernumberfive    0.21352719 -0.225968095  0.079792833    0.029018865  0.261182236  0.259893887
cylindernumberfour   -0.02018417 -0.009195148  0.066087632    0.226571140 -0.309491642 -0.400209795
cylindernumbersix    -0.06859413  0.091987218 -0.014167999   -0.334671407  0.145842406  0.262980669
