"","fueltype","aspiration","doornumber","enginelocation","wheelbase","carlength","carwidth","carheight","curbweight","enginesize","boreratio","stroke","compressionratio","horsepower","peakrpm","citympg","highwaympg","price","carbodyhardtop","carbodyhatchback","carbodysedan","carbodywagon","carbodyconvertible","symboling2","symboling3","symboling4","symboling5","symboling6","symboling1","drivewheelfwd","drivewheelrwd","drivewheel4wd","enginetypedohcv","enginetypel","enginetypeohc","enginetypeohcf","enginetypeohcv","enginetyperotor","enginetypedohc","cylindernumberfive","cylindernumberfour","cylindernumbersix","cylindernumberthree","cylindernumbertwelve","cylindernumbertwo","cylindernumbereight","fuelsystem2bbl","fuelsystem4bbl","fuelsystemidi","fuelsystemmfi","fuelsystemmpfi","fuelsystemspdi","fuelsystemspfi","fuelsystem1bbl","CarNameaudi","CarNamebmw","CarNamebuick","CarNamechevrolet","CarNamedodge","CarNamehonda","CarNameisuzu","CarNamejaguar","CarNamemaxda","CarNamemazda","CarNamemercury","CarNamemitsubishi","CarNamenissan","CarNamepeugeot","CarNameplymouth","CarNameporsche","CarNamerenault","CarNamesaab","CarNamesubaru","CarNametoyota","CarNamevolkswagen","CarNamevolvo","CarNamealpha"
"fueltype",1,-0.401397227941928,0.191490535397669,0.040069514122355,0.308345861836958,0.212678822178102,0.233879813064261,0.284631058375225,0.225559009533371,0.120072773905556,0.0544510292137317,0.241828821291122,0.692421457637222,-0.171361243131846,-0.502255280852917,0.259399746957736,0.173119712409937,0.105679482359739,0.018635177989254,-0.202092938623683,0.185623200600144,0.0281832271802626,-0.0570923895802511,0.151571699011369,0.156438371902991,-0.159302223432203,-0.00552384019486078,-0.128056319222454,-0.040069514122355,-0.0903424856082804,0.122035118095689,-0.0704567088451531,-0.0230204627758065,0.268163408551997,0.020583948792227,-0.092384255369158,-0.0855559455550567,-0.0463832419789709,-0.0819862650350054,0.213527188027309,-0.0201841729600626,-0.0685941254706021,-0.0230204627758065,-0.0230204627758065,-0.0463832419789709,-0.0519875244910036,-0.226565459518911,-0.040069514122355,1,-0.0230204627758065,-0.302573975202643,-0.0704567088451531,-0.0230204627758065,-0.0819862650350054,-0.0618223569754812,-0.0662584106284588,0.273315943842393,-0.040069514122355,-0.0704567088451531,-0.0855559455550567,-0.0463832419789709,-0.040069514122355,-0.0326359389841992,0.0338742269686913,-0.0230204627758065,-0.0855559455550567,-0.043921157834678,0.286482310603306,-0.0618223569754812,-0.0519875244910036,-0.0326359389841992,-0.0570923895802511,-0.0819862650350054,-0.00552384019486078,0.198133473834596,-0.00533817970068272,-0.040069514122355
"aspiration",-0.401397227941928,1,-0.0317917549787477,-0.0571914574090027,-0.25761086421252,-0.234539032958304,-0.300567369378831,-0.0873110933844651,-0.349509467503982,-0.182796266039969,-0.212614195101321,-0.22298217703519,0.112413290654573,-0.310387133197794,0.179074728358183,0.204257356703142,0.259300192433317,-0.177926224630978,0.0290742006189154,-0.00978565400627127,-0.0171109734731329,-0.0189076798550313,0.0814883094685555,-0.165115429721022,0.0295471482283243,0.0790801598292295,0.131943322832608,-0.117276404671641,-0.0484324053733897,0.145680827756588,-0.112470172625115,-0.0851616985832019,0.0328572443468574,-0.207156118787168,0.0201617890911723,0.0344500668774349,0.070069866274927,0.0662030789799822,0.00896095170326172,-0.225968095217943,-0.0091951476783343,0.0919872181866297,0.0328572443468574,0.0328572443468574,0.0662030789799822,0.074202104963083,0.323378236852586,0.0571914574090027,-0.401397227941928,-0.149189650007353,0.0500407865106415,-0.394703333504414,0.0328572443468574,0.0629902193258692,-0.0514446040844366,0.0945710261889994,-0.167416276091337,0.0571914574090027,-0.0851616985832019,0.122114513326956,0.0662030789799822,0.0571914574090027,0.0465814711083885,0.131860600806734,-0.149189650007353,-0.190153368985219,0.100783251752136,-0.225968095217943,-0.0514446040844366,0.074202104963083,0.0465814711083885,-0.0690081179283263,0.00896095170326172,0.166889551748221,0.00896095170326172,-0.169681996166086,0.0571914574090027
"doornumber",0.191490535397669,-0.0317917549787477,1,0.137756661144821,0.447356740206585,0.398567803806664,0.207168218625818,0.552207948006992,0.200898934546494,0.0371935541215095,0.119258223897127,-0.0110816438841145,0.0930142764754079,-0.0886137822054104,-0.230415198726126,0.0110088114893798,-0.0197984075259807,0.0318352658456097,-0.227792565516703,-0.606687673591053,0.515045680562636,0.329690236697894,-0.196280317783212,0.306731324595711,0.469719290560907,-0.229681981826106,-0.215337362187263,-0.44025018423517,0.107809560895947,0.0335775368422426,-0.0739578787963812,0.0936139404158077,-0.0791430133223028,0.178718125473953,0.0214038320848879,0.0220947270666443,-0.0521378848467582,-0.159462890630124,-0.0725084966208608,0.0797928331023419,0.0660876321431787,-0.0141679991491904,-0.0791430133223028,-0.0791430133223028,-0.159462890630124,-0.0512877644532173,0.0205248717861926,-0.137756661144821,0.191490535397669,-0.0791430133223028,0.0250194499118479,-0.1462717818997,-0.0791430133223028,-0.11437960030333,0.0580859224637704,0.0259980645426672,0.0259980645426672,-0.0559012537978983,-0.0503174929734966,-0.0924709655772693,-0.0173329228945787,0.0259541535490242,-0.112200461779025,-0.0156504316722064,-0.0791430133223028,-0.13280404630778,-0.0381202102582413,0.210653079390183,0.00396040380434798,-0.17873008824606,-0.0121957023672853,-0.0213348171503491,0.0949759181090149,0.0013210881115783,0.0531048144265459,0.210653079390183,-0.137756661144821
"enginelocation",0.040069514122355,-0.0571914574090027,0.137756661144821,1,0.187790244050219,0.050988541389625,0.0516976418190811,0.106234248811316,-0.0579741765127413,-0.264248465683849,-0.185041941894201,0.138455488693962,-0.0600343465092262,-0.225992927068035,-0.191933657402943,0.159927680666838,0.106118253361376,-0.324973301080956,-0.394977981458113,0.0877540316852035,0.114368733066687,0.0454170262195475,-0.219838185622198,0.0422542831448334,0.0849146845902495,0.0728774803296875,0.0524127419507932,-0.312905402604522,0.0148514851485148,0.144799180117186,-0.158771665913101,0.026114286333291,0.00853237351425953,0.0303876356930984,0.196371461551655,-0.433726655719,0.0317107128101954,0.0171916242180321,0.0303876356930984,0.0290188648766664,0.226571139543884,-0.334671406748544,0.00853237351425953,0.00853237351425953,0.0171916242180321,0.0192688123327015,0.0839749028884354,0.0148514851485148,0.040069514122355,0.00853237351425953,-0.132428818755874,0.026114286333291,0.00853237351425953,0.0303876356930984,0.0229140242046334,0.0245582164637169,0.0245582164637169,0.0148514851485148,0.026114286333291,0.0317107128101954,0.0171916242180321,0.0148514851485148,0.0120962825167191,0.034241578083079,0.00853237351425953,0.0317107128101954,0.0378094527886599,0.0290188648766664,0.0229140242046334,-0.770752493308062,0.0120962825167191,0.021160894872725,0.0303876356930984,0.0524127419507932,0.0303876356930984,0.0290188648766664,0.0148514851485148
"wheelbase",0.308345861836958,-0.25761086421252,0.447356740206585,0.187790244050219,1,0.874587475964263,0.795143643616968,0.589434761693351,0.765488750544225,0.552466583050287,0.488749875275666,0.160959047297263,0.0418484352682025,0.41723085471843,-0.35715688040568,-0.464306730325749,-0.548525137886244,0.57781559829215,-0.00860757938180898,-0.386093731640759,0.29108550843565,0.210899312759944,-0.175070996170294,0.422022185369238,0.274072418339612,-0.28308548800523,-0.180356623276318,-0.244038268504076,0.112460388563801,-0.460355093318047,0.498829873316296,-0.0690030839230083,-0.00415609728881876,0.39960309526375,-0.204037283016208,-0.183195034943329,0.166151970153223,-0.0811739214630605,0.0696012485260374,0.261182235960738,-0.309491641864865,0.145842405971635,-0.120708757235174,0.0378028602918691,-0.0811739214630605,0.26172356483202,-0.396505419469568,-0.0701244555933735,0.308345861836958,-0.0332942622754076,0.348891133055727,-0.117358799379156,-0.0321287356759441,-0.193293304430631,0.110016963520645,0.147803674760308,0.408209542916486,-0.127604869494706,-0.133609490639008,-0.191713061529145,-0.0923287487315695,0.21457265325911,-0.0934670633108615,-0.0569047723438367,0.0459615464881141,-0.147396442149485,-0.156718503885186,0.453616021156641,-0.105510538867929,-0.170472123737967,-0.0438963113824554,0.00992670596841856,-0.107160746948775,-0.0467851969718121,-0.0476635586480552,0.306227597663898,-0.166150558816776
"carlength",0.212678822178102,-0.234539032958304,0.398567803806664,0.050988541389625,0.874587475964263,1,0.841118268481845,0.491029457504214,0.87971021728004,0.699986969344291,0.606454357984969,0.129532611127912,-0.0319872337027871,0.614634793726968,-0.278963381598007,-0.666599601995698,-0.710789591999036,0.682920015677962,0.0472918210033842,-0.436268752765591,0.269646614678944,0.219683395830765,-0.0517220783450279,0.311840785301325,0.248856530024697,-0.360253311403588,-0.171754512548468,-0.0288681500881057,0.14606313973862,-0.508713891799196,0.538370342184797,-0.0459341846235071,0.00939082040419852,0.261715321010753,-0.274412583754615,-0.118320169006417,0.244052558639357,-0.057876537301757,0.171217601062044,0.25989388738427,-0.400209794750572,0.26298066935891,-0.187444549356382,0.100412956709669,-0.057876537301757,0.245778398929132,-0.487237463681405,-0.0499983319367193,0.212678822178102,-0.00483138839353131,0.511374472875342,-0.0797898133651004,-0.00824471850498644,-0.286842686663421,0.149405456443391,0.171119973513459,0.347344831879037,-0.218994078565968,-0.227400354678447,-0.280777620539919,-0.117767374918745,0.226930245059256,-0.120567162582028,-0.0384142411721019,0.0247508059057468,-0.127248122819052,-0.0771494519190334,0.330602280998543,-0.139779960432441,-0.0486818961416058,0.0411378494922332,0.17707622635194,-0.105171890646982,-0.0739064807607441,-0.0307138785250027,0.285398158712802,-0.0440570752192847
"carwidth",0.233879813064261,-0.300567369378831,0.207168218625818,0.0516976418190811,0.795143643616968,0.841118268481845,1,0.279210321109749,0.860566082718765,0.732334129979046,0.559149908602391,0.182941692514218,-0.0120526804517217,0.650014682717234,-0.209761852095934,-0.648283648353421,-0.691952581034953,0.759325299741511,0.0663600071575192,-0.222307828136427,0.154636664620052,0.0606386763721421,-0.0263280674483701,0.295533743983532,0.106803672926751,-0.240229729491487,-0.163605876622077,0.0437418478222837,0.0735878845667629,-0.472116424356728,0.511148945417486,-0.0697635260010017,0.209135721126155,0.210770891104429,-0.286211489293181,-0.12444603016424,0.348869321474045,-0.0136987513756143,0.0573512056607579,0.397690229150669,-0.523134845860311,0.209245950642835,-0.18347254655573,0.153516216537888,-0.0136987513756143,0.42353006812725,-0.522594334554402,-0.011834065241767,0.233879813064261,0.0128315872852127,0.461896298709478,-0.0463986606334656,-0.0231575039189599,-0.182488429178397,0.246587912710082,0.0534118531261787,0.485409355808188,-0.194067558166631,-0.174349113836642,-0.185211639331902,-0.155429377403831,0.229245659773417,-0.0792133731229109,-0.0176560073676149,0.0684510918734798,-0.0795178589972748,-0.118726612997395,0.276301792826545,-0.143778148294345,0.0895644812608471,0.0297870339092578,0.0480515267586884,-0.111604650460751,-0.164233928094072,-0.0339237970715518,0.228757988599597,-0.0763750939859899
"carheight",0.284631058375225,-0.0873110933844651,0.552207948006992,0.106234248811316,0.589434761693351,0.491029457504214,0.279210321109749,1,0.317337738062315,0.107576526511059,0.17107092150966,-0.0553066736987878,0.153309425847583,-0.0543737677923916,-0.3205849019412,-0.0412865539761956,-0.107385337856712,0.119336226570494,-0.0723277573150209,-0.477475933170642,0.235863381404453,0.459147600342436,-0.16323866027596,0.3100427812645,0.301354274718469,-0.223721851693767,-0.0358178981035134,-0.415847620410859,0.12374485272466,-0.100273247607167,0.0398138583065067,0.147260153035116,-0.0926283250602564,0.31968667645158,0.0362600976838911,-0.0466700922175227,-0.0650632407568138,-0.238719930225015,-0.101430804807708,0.152982390435979,0.0596955203740913,-0.0497773485943449,-0.0150760970753041,-0.170180553045209,-0.238719930225015,0.0165486827689386,-0.0794184972185379,-0.206225162522611,0.284631058375225,-0.101245239280807,0.108685463271575,-0.278615485296556,-0.0667775823986057,-0.0639223651813743,0.054280706145281,0.0909490798353502,0.165353714486152,-0.0662378833267987,-0.18289114457063,-0.0519248162242553,-0.0868027560855446,-0.129565462010619,0.0152751349682656,-0.0535862625099989,0.0308807787676304,-0.323725973741561,-0.0116518350268162,0.337701457327017,-0.135255607845867,-0.170264745659003,-0.0356254285638287,0.169192301898172,0.00256986870167114,-0.000529858521167922,0.149193769059156,0.245341923881498,-0.186226979780352
"curbweight",0.225559009533371,-0.349509467503982,0.200898934546494,-0.0579741765127413,0.765488750544225,0.87971021728004,0.860566082718765,0.317337738062315,1,0.858049063796756,0.661818967201565,0.148735558249398,-0.069431051160351,0.784932873736402,-0.252512822341249,-0.775924369758327,-0.820453625910772,0.808889948270402,0.101465961396038,-0.285681367154442,0.0859986944427664,0.180132067033718,0.0828426059663099,0.276554697933964,0.199873438170162,-0.390703450954545,-0.183005567769296,0.137109658382302,0.106629043230452,-0.676952486914375,0.677573054133659,0.0304488574794435,0.119382460005447,0.276146090536927,-0.404385093040119,-0.0772692893436434,0.377221145555407,-0.03759523376483,0.176464596639979,0.267756809052225,-0.55972177724447,0.411069234629224,-0.152145845861563,0.139190435460069,-0.03759523376483,0.305389718662362,-0.5973494332871,-0.039922770831342,0.225559009533371,0.039138471849861,0.534378027504009,0.00414380955536223,0.0280055221417887,-0.221961004235253,0.101114111014763,0.161807237213813,0.400207295035247,-0.19712832295029,-0.172124595692921,-0.238331699267721,-0.0952032691742968,0.24227545613138,-0.132271077444258,-0.109530319146407,0.0534522643316682,-0.08510483949339,-0.0896416478551387,0.334722015421112,-0.124035935962095,0.114573705627834,-0.00426398670890594,0.0735793398540823,-0.115370891949407,-0.0881122424394451,-0.10151074449839,0.244690022345719,0.0250063099264304
"enginesize",0.120072773905556,-0.182796266039969,0.0371935541215095,-0.264248465683849,0.552466583050287,0.699986969344291,0.732334129979046,0.107576526511059,0.858049063796756,1,0.638086873554565,0.229550916316724,-0.0846638968065781,0.822290196389228,-0.23366178842967,-0.699871577026415,-0.712834162589004,0.834670544462258,0.240627737152877,-0.214278213136035,0.0623763102314284,-0.000607250429192577,0.142894119345185,0.221476841988726,0.0975219691827757,-0.307990616318552,-0.136164773167133,0.19134885926836,0.0506604930267811,-0.555253256360575,0.605099997087877,-0.0913389796536599,0.151814218392162,0.043887218734483,-0.331729233036434,0.00498807072774609,0.476930852744305,-0.224231923063755,0.175636655645451,0.208343201730262,-0.637925076136917,0.610316176539885,-0.136191255060545,0.151814218392162,-0.224231923063755,0.342844775694072,-0.504362499688476,-0.203132274483382,0.120072773905556,0.0695269402628175,0.519913712362284,0.0257489206810648,-0.0105948831789131,-0.166911880323066,0.0396704417446379,0.232836865001076,0.402677877910326,-0.164183879469446,-0.140677906209802,-0.197858764529789,-0.0933386264150822,0.264248465683849,-0.100978859601363,-0.16765852460257,0.0348796652609881,-0.0449477228172192,0.0383466559461295,0.0878286521966738,-0.102391805201759,0.300788322900539,0.024889050075258,-0.0155351018006591,-0.129636429879963,-0.0675764654371172,-0.128351069519856,0.135364946734923,0.0506604930267811
