                        highwaympg        price carbodyhardtop carbodyhatchback  carbodysedan carbodywagon
car_ID                1.125532e-02 -0.109093339    0.077895956     -0.111425362 -0.0147022252  0.150386899
symboling             3.460600e-02 -0.079978225    0.168844544      0.435648137 -0.3783410334 -0.298242511
fueltype              1.913919e-01  0.105679482    0.018635178     -0.202092939  0.1856232006  0.028183227
aspiration            2.544165e-01 -0.177926225    0.029074201     -0.009785654 -0.0171109735 -0.018907680
doornumber           -3.632985e-02  0.031835266   -0.227792566     -0.606687674  0.5150456806  0.329690237
enginelocation        1.020262e-01 -0.324973301   -0.394977981      0.087754032  0.1143687331  0.045417026
wheelbase            -5.440819e-01  0.577815598   -0.008607579     -0.386093732  0.2910855084  0.210899313
carlength            -7.046616e-01  0.682920016    0.047291821     -0.436268753  0.2696466147  0.219683396
carwidth             -6.772179e-01  0.759325300    0.066360007     -0.222307828  0.1546366646  0.060638676
carheight            -1.073576e-01  0.119336227   -0.072327757     -0.477475933  0.2358633814  0.459147600
curbweight           -7.974648e-01  0.835304879    0.098956326     -0.287501476  0.0994251051  0.164074693
enginesize           -6.774699e-01  0.874144803    0.239363362     -0.216805018  0.0884593364 -0.027517911
boreratio            -5.870118e-01  0.553173237    0.208089273     -0.227031791  0.0305165453  0.105719344
stroke               -4.393093e-02  0.079443084    0.043214511      0.052316363  0.0356303626 -0.095083729
compressionratio      2.652014e-01  0.067983506    0.029622979     -0.202650309  0.1882858607  0.016315104
horsepower           -7.705439e-01  0.808138823    0.194801115     -0.053770231 -0.0240974532 -0.063081107
peakrpm              -5.427481e-02 -0.085267150   -0.039756145      0.159797900 -0.0855025777 -0.083901315
citympg               9.713370e-01 -0.685751336   -0.110992529      0.120794823  0.0148697474 -0.067356280
highwaympg            1.000000e+00 -0.697599092   -0.102706541      0.148867980  0.0112177437 -0.110193885
price                -6.975991e-01  1.000000000    0.225854012     -0.262039221  0.1257164823 -0.042309712
carbodyhardtop       -1.027065e-01  0.225854012    1.000000000     -0.145108889 -0.1891186016 -0.075100985
carbodyhatchback      1.488680e-01 -0.262039221   -0.145108889      1.000000000 -0.6757787066 -0.268358829
carbodysedan          1.121774e-02  0.125716482   -0.189118602     -0.675778707  1.0000000000 -0.349748708
carbodywagon         -1.101939e-01 -0.042309712   -0.075100985     -0.268358829 -0.3497487084  1.000000000
carbodyconvertible   -1.200939e-01  0.187681208   -0.034991372     -0.125034892 -0.1629564123 -0.064711704
drivewheelfwd         6.008283e-01 -0.601950297   -0.188307995      0.167552114  0.0159711060 -0.079705340
drivewheelrwd        -5.661487e-01  0.638956539    0.210390319     -0.148046215  0.0082933266 -0.008280466
drivewheel4wd        -1.100808e-01 -0.058866139   -0.043182233     -0.053883710 -0.0579563720  0.211184198
enginetypedohcv      -2.803994e-02  0.159225044   -0.014109018      0.097230559 -0.0657063411 -0.026092679
enginetypel          -6.961482e-02  0.042267238   -0.050248586     -0.135733967  0.0574868209  0.161074877
enginetypeohc         4.260488e-01 -0.344270146   -0.043606450      0.056559712  0.0805709953 -0.101439120
enginetypeohcf       -4.708622e-02  0.016284870    0.136835083     -0.083820630 -0.0759935620  0.124259993
enginetypeohcv       -3.606164e-01  0.385991282    0.050923820     -0.018531233 -0.0035220973 -0.035805744
enginetyperotor      -1.591728e-01 -0.004544155   -0.028427839      0.195906945 -0.1323897416 -0.052573358
enginetypedohc       -2.148055e-01  0.151428775   -0.050248586     -0.004275086 -0.0257979726 -0.029427141
cylindernumberfive   -2.371666e-01  0.249605920    0.063798512     -0.125815844  0.0802034660  0.043564256
cylindernumberfour    5.473261e-01 -0.697761660   -0.133132121      0.066757429 -0.0341778583  0.057521500
cylindernumbersix    -3.666964e-01  0.474977907    0.083316972     -0.070234695  0.0535443225 -0.042973669
cylindernumberthree   2.267556e-01 -0.071387754   -0.014109018      0.097230559 -0.0657063411 -0.026092679
cylindernumbertwelve -1.401500e-01  0.199633568   -0.014109018     -0.050415845  0.0746040748 -0.026092679
cylindernumbertwo    -1.591728e-01 -0.004544155   -0.028427839      0.195906945 -0.1323897416 -0.052573358
cylindernumbereight  -2.658672e-01  0.478614427    0.131433429     -0.047168504 -0.0216395973 -0.058925565
fuelsystem2bbl        5.280095e-01 -0.501374342   -0.084946414      0.120288124 -0.0608300294  0.030349322
fuelsystem4bbl       -1.375061e-01 -0.017306043   -0.024558216      0.169239918 -0.1143687331 -0.045417026
fuelsystemidi         1.913919e-01  0.105679482    0.018635178     -0.202092939  0.1856232006  0.028183227
fuelsystemmpfi       -6.199592e-01  0.516295140    0.115814145     -0.194718368  0.0688534151  0.012395228
fuelsystemspdi       -1.066148e-01 -0.061474847   -0.043182233      0.197165392 -0.1056714574 -0.079859571
fuelsystemspfi       -1.784812e-02 -0.019580151   -0.014109018      0.097230559 -0.0657063411 -0.026092679
fuelsystem1bbl        2.008438e-01 -0.170945398   -0.047985205      0.148084135 -0.0933238220 -0.022588874
CarNameaudi          -1.808744e-01  0.108116554   -0.037890323     -0.078749416  0.0926924208  0.012012500
CarNamebmw           -1.577087e-01  0.324730688   -0.040609137     -0.145108889  0.2147284123 -0.075100985
CarNamebuick         -2.860472e-01  0.515094050    0.219543147     -0.145108889  0.0128049053  0.001877525
CarNamechevrolet      2.764256e-01 -0.111167929   -0.024558216      0.083575268 -0.0329604335 -0.045417026
CarNamedodge          1.048058e-01 -0.145233314   -0.043182233      0.096745751 -0.0579563720 -0.007098628
CarNamehonda          1.784178e-01 -0.166260265   -0.052436409      0.108098859 -0.0436348721 -0.035805744
CarNameisuzu          1.077847e-01 -0.077182152   -0.028427839     -0.027209298  0.0796407039 -0.052573358
CarNamejaguar        -2.202924e-01  0.326074320   -0.024558216     -0.087754032  0.1298561657 -0.045417026
CarNamemaxda          5.416564e-02 -0.095053108   -0.020002250      0.137843040 -0.0931513914 -0.036991397
CarNamemazda          3.471611e-02 -0.068966738   -0.056621414      0.113687752 -0.0009155851 -0.104713477
CarNamemercury       -6.880722e-02  0.028344297   -0.014109018      0.097230559 -0.0657063411 -0.026092679
CarNamemitsubishi     1.525072e-02 -0.131810787   -0.052436409      0.192518920 -0.0837476468 -0.096973889
CarNamenissan         9.905251e-02 -0.111382619    0.026484677     -0.041667256  0.0197142355  0.042395585
CarNamepeugeot       -1.426320e-01  0.066104758   -0.047985205     -0.171465841  0.0802034660  0.175870516
CarNameplymouth       9.283094e-02 -0.125359354   -0.037890323      0.091183534 -0.0687972075  0.012012500
CarNameporsche       -1.093558e-01  0.359580776    0.294729507      0.019518001 -0.1483858100 -0.058925565
CarNamerenault        3.594597e-03 -0.045855779   -0.020002250      0.033184436 -0.0931513914  0.114673330
CarNamesaab          -8.639201e-02  0.042413913   -0.034991372      0.058051914  0.0110335071 -0.064711704
CarNamesubaru        -4.426546e-05 -0.148167054   -0.050248586     -0.048094713 -0.0257979726  0.161074877
CarNametoyota         1.349187e-01 -0.182997066    0.121539740      0.087101695 -0.1342777296  0.004007059
CarNamevolkswagen     1.763211e-01 -0.094943228   -0.045634634     -0.163066530  0.1959192455 -0.015191091
CarNamevolvo         -1.709924e-01  0.143017238   -0.047985205     -0.171465841  0.1235852880  0.109717386
CarNamevw            -2.530314e-02 -0.031003168   -0.020002250      0.033184436 -0.0931513914 -0.036991397
CarNamealpha         -7.245967e-02  0.033972907   -0.024558216     -0.002089382 -0.1143687331 -0.045417026
