                     compressionratio    horsepower      peakrpm       citympg   highwaympg        price
fueltype                  0.692421458 -0.1713612431 -0.502255281  0.2593997470  0.173119712  0.105679482
aspiration                0.112413291 -0.3103871332  0.179074728  0.2042573567  0.259300192 -0.177926225
doornumber                0.093014276 -0.0886137822 -0.230415199  0.0110088115 -0.019798408  0.031835266
enginelocation           -0.060034347 -0.2259929271 -0.191933657  0.1599276807  0.106118253 -0.324973301
wheelbase                 0.041848435  0.4172308547 -0.357156880 -0.4643067303 -0.548525138  0.577815598
carlength                -0.031987234  0.6146347937 -0.278963382 -0.6665996020 -0.710789592  0.682920016
carwidth                 -0.012052680  0.6500146827 -0.209761852 -0.6482836484 -0.691952581  0.759325300
carheight                 0.153309426 -0.0543737678 -0.320584902 -0.0412865540 -0.107385338  0.119336227
curbweight               -0.069431051  0.7849328737 -0.252512822 -0.7759243698 -0.820453626  0.808889948
enginesize               -0.084663897  0.8222901964 -0.233661788 -0.6998715770 -0.712834163  0.834670544
boreratio                -0.099326427  0.5773806708 -0.257775442 -0.5874155750 -0.593680765  0.553173237
stroke                   -0.037929055  0.1356418794 -0.065242948 -0.0475981164 -0.050545183  0.079443084
compressionratio          1.000000000 -0.3680521723 -0.245175795  0.4611806490  0.413252870 -0.057434963
horsepower               -0.368052172  1.0000000000  0.114739419 -0.8704275655 -0.854897162  0.770554826
peakrpm                  -0.245175795  0.1147394192  1.000000000 -0.1145559751 -0.032363402 -0.083506312
citympg                   0.461180649 -0.8704275655 -0.114555975  1.0000000000  0.969296298 -0.707175968
highwaympg                0.413252870 -0.8548971623 -0.032363402  0.9692962982  1.000000000 -0.725882432
price                    -0.057434963  0.7705548262 -0.083506312 -0.7071759681 -0.725882432  1.000000000
carbodyhardtop            0.077823997  0.1653564804 -0.046179694 -0.1132264607 -0.104289989  0.225854012
carbodyhatchback         -0.159740031 -0.0622170014  0.150921446  0.1099188141  0.143344436 -0.262039221
carbodysedan              0.122138125 -0.0157181536 -0.076190448  0.0246983640  0.016193933  0.125716482
carbodywagon              0.011902584 -0.0459325469 -0.082226497 -0.0633610257 -0.106859780 -0.042309712
carbodyconvertible       -0.024698179  0.1207616787  0.013652820 -0.1292593766 -0.123939484  0.187681208
symboling2                0.077223495  0.1712949979 -0.181098760 -0.1302444963 -0.178201698  0.176377797
symboling3                0.020277801 -0.0455721165 -0.222757665 -0.0335514583 -0.069563421  0.095324216
symboling4               -0.031089451 -0.2608835795  0.186716695  0.2987491176  0.313822828 -0.243035891
symboling5                0.132365047 -0.1506164447  0.006832289  0.1552495934  0.186778787 -0.170937097
symboling6               -0.189369114  0.3700654945  0.205207666 -0.3636514796 -0.318756339  0.192775009
symboling1               -0.030987331  0.1065317182  0.053438762 -0.0742406543 -0.086985235  0.038305622
drivewheelfwd            -0.009485913 -0.5613151261  0.160938090  0.5791207656  0.620939022 -0.601950297
drivewheelrwd             0.082573149  0.5896077847 -0.123671425 -0.5615474804 -0.585918402  0.638956539
drivewheel4wd            -0.171856250 -0.0402393945 -0.095442989 -0.0687290978 -0.111832584 -0.058866139
enginetypedohcv           0.073710385  0.1298359084  0.102311696 -0.0918805556 -0.027989820  0.159225044
enginetypel               0.104212372 -0.0455511095 -0.228346872 -0.0541268527 -0.099684390  0.042267238
enginetypeohc            -0.009798732 -0.4100930264  0.071842777  0.4169276763  0.456637488 -0.344270146
enginetypeohcf           -0.033669660 -0.0005458211 -0.081152427 -0.0283181650 -0.041746036  0.016284870
enginetypeohcv           -0.081711649  0.4310324339 -0.054226929 -0.3512189846 -0.380565265  0.385991282
enginetyperotor           0.053689334  0.0347292587  0.222176522 -0.1908498072 -0.167134831 -0.004544155
enginetypedohc           -0.016843321  0.3223664748  0.076280734 -0.2058497989 -0.223653324  0.151428775
cylindernumberfive        0.033875218  0.1531169596 -0.013668520 -0.2141398445 -0.248131692  0.249605920
cylindernumberfour        0.010918431 -0.6263622507 -0.044506279  0.5787432735  0.591363538 -0.697761660
cylindernumbersix        -0.054514057  0.5530310664  0.020009881 -0.4015471678 -0.383779748  0.474977907
cylindernumberthree       0.034490522 -0.1146657177 -0.001125584  0.1466874732  0.136892740 -0.071387754
cylindernumbertwelve      0.147443727  0.1298359084 -0.017039012 -0.1373220849 -0.148903697  0.199633568
cylindernumbertwo         0.053689334  0.0347292587  0.222176522 -0.1908498072 -0.167134831 -0.004544155
cylindernumbereight      -0.095708441  0.2796488797 -0.092385875 -0.2485440773 -0.281659498  0.478614427
fuelsystem2bbl            0.021413365 -0.5988999010 -0.075149155  0.5509164174  0.568689730 -0.501374342
fuelsystem4bbl            0.046381095 -0.0017300023  0.191933657 -0.1599276807 -0.144384290 -0.017306043
fuelsystemidi             0.692421458 -0.1713612431 -0.502255281  0.2593997470  0.173119712  0.105679482
fuelsystemmpfi           -0.293472884  0.6835251208  0.150704203 -0.6719557780 -0.638751406  0.516295140
fuelsystemspdi           -0.422599769  0.1596055915  0.083141390 -0.1266786387 -0.108094498 -0.061474847
fuelsystemspfi            0.010958604 -0.0245861712 -0.017039012 -0.0123578793 -0.016997649 -0.019580151
fuelsystem1bbl            0.049396727 -0.1817606837  0.311063824  0.2073548086  0.186890396 -0.170945398
CarNameaudi              -0.139092612  0.1125270849  0.167921741 -0.1900897283 -0.189030256  0.108116554
CarNamebmw               -0.109563722  0.1846474424 -0.017553032 -0.1867967443 -0.163611431  0.324730688
CarNamebuick              0.109431565  0.2425203285 -0.283780992 -0.2154074101 -0.302028129  0.515094050
CarNamechevrolet          0.069136514 -0.1448345753  0.053438762  0.2553248316  0.238276078 -0.111167929
CarNamedodge             -0.102234912 -0.0993176568  0.137257869  0.1012562222  0.119928731 -0.145233314
CarNamehonda              0.045212802 -0.1692455088  0.337023638  0.1879114248  0.166230957 -0.166260265
CarNameisuzu              0.026031309 -0.1057160743  0.013763839  0.1353283407  0.120786517 -0.077182152
CarNamejaguar            -0.001860394  0.2259929271 -0.075823140 -0.2126581584 -0.233671709  0.326074320
CarNamemaxda             -0.006704752 -0.1017487816 -0.024156080  0.0871662687  0.061611912 -0.095053108
CarNamemazda              0.033065674 -0.1170296377 -0.023675948 -0.0009637072  0.046480123 -0.068966738
CarNamemercury           -0.083169068  0.1298359084 -0.017039012 -0.0691597909 -0.071958503  0.028344297
CarNamemitsubishi        -0.291159418  0.0208322872  0.095904102 -0.0069549882  0.024818141 -0.131810787
CarNamenissan             0.043540055 -0.0096843151  0.049858818  0.0766850490  0.097867887 -0.111382619
CarNamepeugeot            0.097901440 -0.0120009279 -0.237537029 -0.1017412703 -0.146173390  0.066104758
CarNameplymouth          -0.081915378 -0.0849522294  0.106870119  0.0932058348  0.106168805 -0.125359354
CarNameporsche            0.095604748  0.2748053498  0.223864825 -0.1972333665 -0.112857546  0.359580776
CarNamerenault           -0.040065777 -0.0348556322 -0.001595732 -0.0336252032  0.007069596 -0.045855779
CarNamesaab               0.027502346  0.1340595180  0.089296822 -0.1339551363 -0.087590995  0.042413913
