"","Attrition","Gender","MonthlyIncome","Education2","Education3","Education4","Education5","EnvironmentSatisfaction2","EnvironmentSatisfaction3","EnvironmentSatisfaction4","JobSatisfaction2","JobSatisfaction3","JobSatisfaction4","WorkLifeBalance2","WorkLifeBalance3","WorkLifeBalance4","BusinessTravelTravel_Frequently","BusinessTravelTravel_Rarely","DepartmentResearch...Development","DepartmentSales","EducationFieldLife.Sciences","EducationFieldMarketing","EducationFieldMedical","EducationFieldOther","EducationFieldTechnical.Degree","JobLevel2","JobLevel3","JobLevel4","JobLevel5","JobRoleHuman.Resources","JobRoleLaboratory.Technician","JobRoleManager","JobRoleManufacturing.Director","JobRoleResearch.Director","JobRoleResearch.Scientist","JobRoleSales.Executive","JobRoleSales.Representative","MaritalStatusMarried","MaritalStatusSingle","NumCompaniesWorked1","NumCompaniesWorked2","NumCompaniesWorked3","NumCompaniesWorked4","NumCompaniesWorked5","NumCompaniesWorked6","NumCompaniesWorked7","NumCompaniesWorked8","NumCompaniesWorked9","StockOptionLevel1","StockOptionLevel2","StockOptionLevel3","TrainingTimesLastYear1","TrainingTimesLastYear2","TrainingTimesLastYear3","TrainingTimesLastYear4","TrainingTimesLastYear5","TrainingTimesLastYear6","JobInvolvement2","JobInvolvement3","JobInvolvement4","dummy_PerformanceRating","PercentSalaryHike15.17","PercentSalaryHike18.22","PercentSalaryHike23.","TotalWorkingYears10","TotalWorkingYears11.13","TotalWorkingYears14.19","TotalWorkingYears2.6","TotalWorkingYears26.","YearsAtCompany12.14","YearsAtCompany15.19","YearsAtCompany20.21","YearsAtCompany22.","YearsAtCompany3.5","YearsAtCompany6.11","YearsSinceLastPromotion11.","YearsSinceLastPromotion3.7","YearsSinceLastPromotion8.10","YearsWithCurrManager12.","YearsWithCurrManager3.6","YearsWithCurrManager7.11","DistanceFromHome11.14","DistanceFromHome15.19","DistanceFromHome20.","DistanceFromHome4.7","DistanceFromHome8.10","Age21.23","Age24.27","Age28.33","Age33.38","Age39.41","Age42.45","Age46.50","Age50.57","Age58.","ActualWorkingHours"
"Attrition",1,-0.0186244089417596,-0.0344466173084542,0.0352982714755491,-0.0141531936841908,-0.00679118834779307,-0.00935454618482405,-0.0153135474870917,-0.0440964225048538,-0.0480979160524042,0.00318007492582447,0.00623722557201124,-0.0868753246447655,0.00681324314998304,-0.0603826947074015,0.0149992092265367,0.110314472327291,-0.046099885819266,-0.0141850580511918,-0.0181958317610388,0.0122832988365608,-0.00365505795843653,-0.00198257395300406,-0.0229936561971172,-0.0378046931047995,0.0293887327550025,-0.0134873331577086,0.000998169708776455,-0.0254010309286827,-0.0132274428814008,-0.000584432124905514,-0.0231650698460242,-0.0429106044881866,0.0445197143305479,0.0302772831981655,0.0113704832409101,-0.00810904333746454,-0.0852690991484083,0.171302680174667,0.0539333399569812,-0.0465057568266935,-0.0555217209853305,-0.0352897758351567,0.0470106371656532,0.0374490332680578,0.0459653812244157,-0.0169907575579363,0.037768974682876,-0.0230561950655446,0.0176438737071796,-0.00919803529910615,-0.0140437975911697,0.0196700374722509,0.0273360286194926,-0.0251784315170161,-0.0114345595162778,-0.0575152881846556,-0.000632302487612311,-0.0279033748254452,0.0193999460506562,0.0262616290760871,0.0179340206774469,0.0126219824424413,0.0227195451439383,-0.0392212258388708,-0.0280790359254805,-0.0460114330126617,-0.0286322050693784,-0.0130492745141451,-0.0486331164043365,-0.0482928243240956,-0.0509673233537299,-0.0142377375770148,-0.0431995691788944,-0.0810664563497034,-0.0228254637693179,-0.0198974377538115,-0.0174089011881028,-0.0631710732658728,-0.0513993795970571,-0.0745942621616884,-0.0375311626723795,0.0711824633953165,-0.0377950653864489,0.0040406079372143,0.00848019237128299,0.0875932615558909,0.0332271043601417,0.0944841544990474,-0.0789115478425074,-0.0300093124927899,-0.0737257477338814,-0.0398719115915625,-0.0292324317925365,0.00421059185827865,0.195528778294136
"Gender",-0.0186244089417596,1,-0.0093419758977522,0.0121497672666809,0.0170348091091063,-0.015615886858147,0.0259413890286808,0.0438571558158168,-0.00551363293498179,0.00870808301670039,-0.0348701937473821,0.0102200118295274,-0.00757920852653081,-0.0427045271446853,0.0591709517824625,-0.0169540894887338,-0.00399665078505408,0.0284323624684475,0.0082936744978042,-0.00364577286599107,-0.006841509778703,-0.00544951545450593,0.0321489536433806,-0.0026936609101252,-0.0189661660128146,0.0281308958945577,-0.0289535459788609,0.0203469901895611,0.020624935857155,-0.00490650060453057,-0.0116867506112173,0.0443308141928889,0.00528776041475179,0.003147003597378,-0.0313148615925896,0.00296466603340194,0.0125694712378163,0.0288247214293555,-0.00882817349342861,-0.0140701109930925,-0.0122016528296085,0.0238402737543436,0.0285368619525473,0.0107823366120893,0.0161311442539138,-0.0178844099887388,0.0407611040275244,0.0384839172748772,-0.0201397798955453,0.00858215790525638,-0.0172753926857219,-0.0684570147825606,0.00418179089557495,0.0395909627239195,0.00625599346408402,-0.00893487391376171,-0.000917803826499988,0.00986875909591622,-0.00318740311234753,-0.023771423691913,-0.0541258562279947,0.0665839818246579,-0.0210167133841872,-0.0237257057602419,0.0189752210725613,0.00458848674474367,0.0237148405318253,-0.0635319427549836,0.0508041917046813,-0.0166119184940658,0.0175456181802834,-0.011129153672772,0.023522900948121,-0.034335790235426,0.01060134689642,0.033262638988412,0.00837024133875564,-0.0305543750798239,-0.00957504603677128,0.0264653062812747,0.000761892990775858,-0.0197571083122487,-0.015133700351749,0.0395990011476498,-0.0223646485004115,0.0485099159246272,-0.000184379166648055,-0.0312237037250645,-0.00475776799607323,0.00665251996361306,-0.0069145752299847,0.0457217508813281,0.00669320919665727,0.00403517469492053,0.00342904082557708,0.00190737944615716
"MonthlyIncome",-0.0344466173084542,-0.0093419758977522,1,0.00152088646910176,0.0362505294805204,-0.0292847590700675,0.0102791408938142,0.0447073434380454,-0.0266775928698254,0.000240752584698508,-0.038508000380399,0.0509983037288976,-0.0178137915107791,-0.0248974542649093,0.00136562799208359,0.01630303446138,-0.0379572306619734,-0.0106861998423076,0.0557396601463194,-0.0439182668109605,0.00640946350440956,-0.0339297478810181,0.0242242094578741,0.00436220050403672,-0.0115772674507321,0.00625259065509387,-0.0122534063160566,0.0781200809167522,-0.00531089263033157,-0.0230504745720317,0.0164937855058722,-0.0137652492602291,0.043482954116985,-0.00131562384758761,-0.0126227743989127,0.00596098743287857,-0.0146279540750998,0.0101598309325649,-0.0538663217563478,0.0313032551048015,-0.00842520784369759,0.0442471898097869,-0.0723280627193288,-0.0321187824806545,0.0236355420520791,0.0073606554994478,-0.014478816647335,-0.0276547543474023,0.0370196511028603,0.018973411225211,0.0043878648167587,0.0278842626054592,-0.0110572024923999,-0.0144023450342164,-0.0528392220681805,0.0367729063398819,0.0695928321432534,-0.00158491114723753,0.0240277560043797,-0.00231595715090741,0.0202508265141738,-0.00376324061185358,0.0114583946754097,0.000239719633552762,0.0227879575738304,0.0229837051022505,-0.00996795714522993,-0.00795542936883451,-0.0283396609509041,-0.00890708592856671,0.030289672649275,0.0255785733884675,-0.0384797672304987,-0.025587312691649,0.0415741699914335,0.0283772116238484,0.034351885934498,0.0311877512155354,0.00353647639658589,-0.00288043716831696,0.0285891348826365,0.020379770573686,-0.0279991742255384,-0.00495755876940197,-0.0172621916096288,0.0123214134532618,0.05665887715377,0.00957257166366527,-0.027994567958083,-0.00183033409740894,0.0332826833573685,-0.0073115039551893,0.0190027965553574,-0.0383377683426508,-0.0513574509405681,-0.0184630120117613
"Education2",0.0352982714755491,0.0121497672666809,0.00152088646910176,1,-0.387684049869107,-0.297103738726038,-0.0892513769001796,0.0110674477637641,-0.0236521228225118,0.0216830658313243,0.00523174158530402,0.0205503270689444,-0.0170236398120579,-0.00887336204265706,0.0262002792233621,-0.0156966977412499,-0.017907132876597,0.00788169320826104,-0.0301070714293764,0.0345031813490805,0.0216241493582509,-0.0317915858210078,0.0151623622573005,-0.0449713352699864,0.00311803362650806,-0.025994338953125,-0.0193938075062443,0.0206914208934776,0.00988431741188276,-0.0269603131017973,0.00793724343690638,-0.0144723742868575,-0.0114628959045429,-0.0545587161052763,-0.00208265048828426,0.0313141526315034,0.00995580715859455,0.00728821999903692,-0.00190931689750288,-0.00221089757012492,-0.0251544065831411,-0.00226349221945827,-0.00065589876878155,-0.0186692713672206,-0.00411797713614909,0.00126170585060861,0.0232799399934177,0.00803290378297884,0.035361616370329,-0.0364944999932117,-0.0147753647385855,0.0219877056261204,0.0398080431221401,-0.028084838412546,-0.0357121812385814,-0.0243899367604662,0.00470278745110073,0.0239519085337402,-0.047092223058953,0.0271087783811873,0.0185029622787998,-0.0570384603764118,0.0256142159279778,0.00760830287614338,-0.0256399288511792,-0.0102244734029691,0.0225152685493719,0.0190229011327647,-0.0426468876777351,-0.00543625005680545,-0.0355685929978699,0.00441080179456529,-0.046972627871659,-0.0248721801687053,-0.00600871140633583,-0.0634201434274097,0.0274812202529075,-0.0184411986248502,0.00353039377197676,-0.0236876262973382,-0.0541644768317909,0.024871051295963,0.00128020609776894,-0.0481511285886875,0.025946684803919,0.00936267846822186,0.0303528421066664,0.0248530868242513,-0.0508837909552971,0.0276244035975971,-0.0360831435285106,0.0319303739085764,-0.0416004066117735,0.0115721933402126,0.0308543015758061,0.0210101267556846
"Education3",-0.0141531936841908,0.0170348091091063,0.0362505294805204,-0.387684049869107,1,-0.486621066290132,-0.146183283930589,-0.00703679013299814,-0.0137234680632317,0.0201615787431395,0.0113647240410259,-0.0284199433581868,-0.0062801503957928,-0.0251592753918559,0.0231874591367759,0.00659779255505643,-0.0063402068648576,0.0316126457555496,0.0108640531825688,-0.00892394878717236,0.0166193813182247,0.0196748240598774,-0.0253652218660782,0.00827123994361505,-0.0119380197133133,0.0475910381212027,0.0134691102006556,-0.0230697442965674,0.0224625881865446,0.00562522351643743,0.010025707891628,0.0297833759247775,0.0210220346102915,0.0435232213116966,-0.0389193793556038,-0.0301617900523439,-0.0240594232049777,-0.00737889501285954,0.0156015627893317,0.0347071441638729,-0.0316464003983424,0.0184487685551689,0.037774649592881,-0.0184572452687958,0.0541089211804595,0.00157653901323137,0.00867982541858846,-0.0560014290203293,-0.0301334772786919,-0.00150645904223709,0.0100057311534741,-0.0114713748141983,-0.0265109428202224,0.00114525850467413,0.00616576993799368,0.0256519297165191,0.0376356097720108,-0.039063920257021,0.0470223633406165,-0.0242961096451262,-0.0278998792092741,0.00757324316562438,-0.019937936157796,0.00290660827775586,0.0164483033018426,0.0147843439857224,-0.0191232661379751,-0.0409845402203402,0.039068930781414,0.0186509713272433,-0.00183588340351272,-0.00935561853927167,0.0138157572425424,-0.0110330297557116,0.0281785492547859,0.0373059172530316,0.0116747762253147,-0.00863601854674632,-0.0612909739602948,-0.00274037103159485,0.0566531743247114,-0.00872310263871261,-0.0455405852486405,0.00441055457366349,0.0524840276215634,-0.020421782760553,-0.00936634317960214,0.00541914918838887,0.039034231360579,0.0128703024650086,-0.0159778392381552,-0.0513171423999847,-0.0288782584483301,0.0149187107236929,-0.00267182637393541,-0.00286271886973774
"Education4",-0.00679118834779307,-0.015615886858147,-0.0292847590700675,-0.297103738726038,-0.486621066290132,1,-0.11202833908099,0.0172887831789557,0.0348332048562772,-0.0526587430628815,-0.0379434196859169,0.0318698316893203,0.0154260069764149,0.019784449926735,-0.0306947570455355,0.00472691770836446,0.0190675092628286,-0.0146687214174455,-0.00929033838940796,0.0068000961055343,0.00351256399900485,0.00940343197873277,-0.0174138851884117,0.0564157618234657,-0.0262265156663575,-0.00929843304338508,-0.00163460048766784,0.0422236703974957,-0.0163402776734226,0.0257986773165593,-0.0434106658635838,0.00983195530668809,-0.0151612377079267,0.0302881927797534,0.0152626052915369,0.0154958688539546,0.0216800661845116,0.00856800668699951,0.000683179564836657,-0.0304998809287933,0.0489764492220715,0.00407270401491023,-0.0443297079538928,0.0225432075322863,-0.0708309103548165,0.0264085077989874,-0.0184944161731234,0.0089171242383603,-0.00755309950422784,-0.00770105615112875,0.00467641123702446,0.0200094816235172,-0.0308629588632129,0.0256256228174779,0.0330495684468192,0.0134870019121514,-0.0498885163338508,0.000146964926718571,-0.0133672800918962,-0.00190859205051435,0.023443192308294,0.0397347243873794,-0.00418006437669673,-0.0175079631773895,0.0391132489093807,-0.021221464698243,0.00914748252838961,0.00657541770624189,-0.0244452494404424,-0.00838664077339811,0.0340676087583388,0.0180919897107128,-0.00943415649889573,-0.0247182411010803,-0.00670413903299992,0.00762028837894389,-0.0221009299511094,0.000420566677940682,0.0510818659582267,-0.00274155112732627,-0.0115120814438587,0.00679918479992293,0.0625690206888836,-0.0157579542123173,-0.026089387354163,-0.015978444914719,-0.0231516952004372,-0.0201706586777633,0.00958473347703743,-0.0369962098581272,0.0378966186769558,-0.00354579042942836,0.0377872202113694,-0.013772878956742,0.0236488067383248,-0.00920157189107377
"Education5",-0.00935454618482405,0.0259413890286808,0.0102791408938142,-0.0892513769001796,-0.146183283930589,-0.11202833908099,1,-0.00435235155849745,-0.00268294620371822,-0.0191130190055134,0.0206667829864328,-0.0348256743704874,-0.00689060751158044,0.0194420627573711,0.0162450650001702,-0.0284720493883367,-0.0111968167770631,-0.018284963471924,0.00993413193583359,-0.0186697779816085,-0.0332880476190566,-0.0389658463659162,0.0326348889875068,-0.0270806873573303,0.066614559599027,0.00575252185946507,0.0115165966655049,-0.0110495586905504,-0.00337806643488161,0.0281076880638402,-0.0435105931911997,0.0116688593163324,-0.0120663100195521,-0.0152837512974853,0.0230479437553475,-0.0130011225441731,0.0350558990634357,-0.0239517916467591,0.0112363639745912,0.00553358788363939,-0.00833498714804151,-0.000725440877815867,0.0217664134769899,-0.000150182224520717,0.0152446075010042,-0.0422919324131791,0.0250852983500641,0.00695312703562908,-0.00957545107891142,0.0329977566855163,0.0216172223154973,0.0133774528315392,-0.00803598204467893,0.0337367435019688,-0.00326084823241478,-0.0398153335577279,-0.0203147822975203,0.00616671190798906,0.0225491078501169,-0.0250460149334795,-0.0673632460938073,-0.00620886924378776,-0.0125115488249191,-0.0399832486239394,0.0296702471019758,0.0165637910331266,-0.000905439636512095,0.0057877522103202,-0.0415509938809597,-0.0163557542089611,-0.0203147822975203,0.00899127154600124,0.00645375285573471,0.0558072916423372,-0.0267070266776253,0.0166963016231835,0.0334250614066692,0.0163265404256246,-0.0136413181373175,0.0428606075209062,-0.0272022179741913,-0.0137068107956401,-0.0146379797462454,0.0301201583610552,-0.0294131994620373,0.00985497661878551,0.0376551987492742,0.0214265099451174,-0.000240396144951497,0.0109312379106461,-0.00926387695364831,0.00262904707078807,-0.00346107320310104,-0.0337658776977626,-0.0263621756428577,-0.0237213391787351
"EnvironmentSatisfaction2",-0.0153135474870917,0.0438571558158168,0.0447073434380454,0.0110674477637641,-0.00703679013299814,0.0172887831789557,-0.00435235155849745,1,-0.32750775687774,-0.326254718714077,0.0185259979603265,-0.00878688716730937,-0.000361697245977632,0.0442463466726064,-0.0120838556800643,-0.0264607604781751,-0.0162903341358938,0.0370996462302519,-0.000852240205950313,0.00508169230908897,0.0195922437436101,-0.0367274768703559,-0.0115234190223495,0.00709080358560582,0.0207328885602184,-0.0560807136624017,0.0114192830487602,0.0292040473633305,0.0299732631871884,-0.0285732600041586,0.000457589026759328,-0.0100122863750372,0.0249742332358241,0.00296306494713541,0.00645086757577906,-0.00357227325842055,0.0254546768783053,0.037474762880873,-0.0221795068970349,0.0214307015150204,0.0111559383719971,0.00203097620749913,-0.0177540934398425,-0.0176318262705073,-0.0172872691348813,-0.00627373450038834,0.00161005330914006,-0.00646728339064978,-0.00132988271988525,0.00958237931363513,0.0030618224804895,0.0142471283588838,-0.00535143331315847,-0.0171279201901264,-9.91662374557039e-05,0.0269454006549268,-0.0116280436828588,0.0276623731477766,-0.0424929046207338,0.00800803315620821,-0.0392960282728696,0.00356762653571952,-0.0389626441386074,-0.0424406644974369,0.0850770276600356,-0.00442202037449634,-0.000462267388769319,-0.0510837543603309,-0.0123599354444208,-0.0255548443869208,-0.00877249897490375,0.0206817988463615,-0.0202057459372665,-0.0462052396660082,0.0639218467794236,0.00550636548112175,0.013716754881548,0.00848446980389224,0.00808951686297518,-0.00941377062821101,0.0185348377652704,-0.0219358614450497,-0.0120477879046983,-0.00315879615296429,-0.0181126636954199,0.0158778149956929,-0.0269666648502709,-0.0465946122179816,0.0199081090845967,0.0390177979395554,0.0257473855091347,0.0323841337805237,-0.0531116194589115,-0.0410680247668716,-0.00823235306868594,0.0115151510664858
"EnvironmentSatisfaction3",-0.0440964225048538,-0.00551363293498179,-0.0266775928698254,-0.0236521228225118,-0.0137234680632317,0.0348332048562772,-0.00268294620371822,-0.32750775687774,1,-0.440776092665212,0.000704462813436296,-0.0269708972505409,0.00959720792280336,-0.0193978185132992,0.0048569338131691,0.0312452466936674,-0.00536285782874746,-0.0231910642182873,-0.0286335339021938,0.0417572467025634,0.000297040728706153,0.0277240567916153,-0.00368332412677114,-0.0501605392495866,0.0339711882906891,0.0288940933462265,0.0260212955846935,-0.0213743931859441,-0.0589038023038423,-0.0115030490284438,-0.014837370282658,0.0303017486062605,0.0297563655473499,-0.00906317909887281,-0.0485524106218852,0.0203181481701026,-0.0129915493107702,0.0324117040820278,-0.034469708868285,0.0159444401245176,-0.0218874060578728,-0.033976654156154,-0.00851217190779225,0.0155394581450934,-0.0302350146442882,0.00100563719948829,-0.00354237180071294,0.0102079619766295,0.0194008390497829,-0.0615566996712322,0.0136072051400849,-0.0307442901763277,-0.0162464589518713,0.0252172582369525,0.0143640449446061,0.0108764864646373,0.0115792638438228,0.0131081695178235,0.00758997126531393,-0.0116066769721495,0.00689640220954404,-0.0194660907823977,0.0161443516202637,0.0246858029777411,-0.0556668225255336,0.0264439282757619,0.0258077716466726,-0.00315801662838887,0.0106103213289004,0.0106815790547736,0.0164871824764928,-0.0261397310951758,0.016581361391163,-0.0192148665999351,0.0224594086329722,0.00771942166412066,0.020451298557865,-0.0491467395083768,-0.00361195956742647,0.0284997288650385,0.00575187066742133,0.0400020760904673,0.0243400384060647,-0.0199212779155114,0.0221217305335523,-0.0168218962577929,0.0269385987469105,-0.0250733817069524,0.0398798026111677,-0.0165719179413424,0.00519514161495348,-0.030856046199452,0.039571375119281,-0.0213006175017244,0.00112204132938153,-0.0007923132422241
"EnvironmentSatisfaction4",-0.0480979160524042,0.00870808301670039,0.000240752584698508,0.0216830658313243,0.0201615787431395,-0.0526587430628815,-0.0191130190055134,-0.326254718714077,-0.440776092665212,1,0.0088447227113234,-0.0114807995512365,0.00870707154109132,-0.0186676181424156,0.0206291215528402,-0.0120485785217351,0.00150026568997226,0.0101130909391356,0.0133017671259086,-0.0305113474066606,0.0104353030393332,-0.0341854755733952,-0.00127906961259382,0.0302925577687885,-0.0233149046344759,-0.0229918489932759,-0.0277653653698209,-0.000974756760198666,0.030318427007946,0.0272120404724503,-0.00261643487823629,-0.0143554132580329,-0.0318465515400221,0.0139935286024627,0.0238809542256254,-0.016629894547465,-0.00556201776461623,-0.0534979174941154,0.0403705298432118,-0.0014268029967651,-0.047766605813249,0.0403200213504173,0.0099241835559475,-0.0210241207290278,0.0398889185755695,-0.0097139926374083,0.028299387852472,0.00275078510025327,-0.000300620073431843,0.00944936737574724,0.00155599058131059,0.0122852211270222,0.00421766821005332,0.0181290771052202,-0.0155866601867494,-0.01405607548804,-0.0122194814200365,-0.0206358294924062,0.0108115476664158,0.0133568705161509,0.015411945185221,-0.0138862961529137,0.0107508148617809,0.00850146696083021,-0.0279175261429075,0.00365451969419804,-0.0268094110896141,0.00384275734862054,0.0291145654418933,0.00878430093527317,-0.0195923210046235,0.00828586105580405,-0.015121079199298,0.0162208390487552,-0.0041586664712058,-0.00606279914736497,-0.0107272836886241,0.0491126692537309,-0.0276369958468616,-0.00590234888861117,0.00252395233865495,-0.00768953631025411,-0.0140115724117229,0.0178582568435153,-0.00487585399746909,0.0061534022576513,-0.00223672074743717,0.00539377875193108,-0.0180149506031135,-0.000757650917998908,-0.0127686785935223,-0.0147374080375395,0.00474135030440865,0.0377336863606973,0.00163175999098869,0.0465386268359011
