"","Attrition","Gender","MonthlyIncome","PerformanceRating","Education2","Education3","Education4","Education5","EnvironmentSatisfaction2","EnvironmentSatisfaction3","EnvironmentSatisfaction4","JobSatisfaction2","JobSatisfaction3","JobSatisfaction4","WorkLifeBalance2","WorkLifeBalance3","WorkLifeBalance4","BusinessTravelTravel_Frequently","BusinessTravelTravel_Rarely","DepartmentResearch...Development","DepartmentSales","EducationFieldLife.Sciences","EducationFieldMarketing","EducationFieldMedical","EducationFieldOther","EducationFieldTechnical.Degree","JobLevel2","JobLevel3","JobLevel4","JobLevel5","JobRoleHuman.Resources","JobRoleLaboratory.Technician","JobRoleManager","JobRoleManufacturing.Director","JobRoleResearch.Director","JobRoleResearch.Scientist","JobRoleSales.Executive","JobRoleSales.Representative","MaritalStatusMarried","MaritalStatusSingle","NumCompaniesWorked1","NumCompaniesWorked2","NumCompaniesWorked3","NumCompaniesWorked4","NumCompaniesWorked5","NumCompaniesWorked6","NumCompaniesWorked7","NumCompaniesWorked8","NumCompaniesWorked9","StockOptionLevel1","StockOptionLevel2","StockOptionLevel3","TrainingTimesLastYear1","TrainingTimesLastYear2","TrainingTimesLastYear3","TrainingTimesLastYear4","TrainingTimesLastYear5","TrainingTimesLastYear6","JobInvolvement2","JobInvolvement3","JobInvolvement4","PercentSalaryHike12","PercentSalaryHike13.14","PercentSalaryHike15.18","PercentSalaryHike19.20","PercentSalaryHike21","TotalWorkingYears10.12","TotalWorkingYears13.16","TotalWorkingYears17.22","TotalWorkingYears23.","YearsAtCompany15.","YearsAtCompany2","YearsAtCompany3.4","YearsAtCompany5.6","YearsAtCompany7.14","YearsSinceLastPromotion1.3","YearsSinceLastPromotion4.","YearsWithCurrManager1.2","YearsWithCurrManager3","YearsWithCurrManager4.8","YearsWithCurrManager9.","DistanceFromHome11.","DistanceFromHome3.10","Age26.33","Age34.37","Age38.","ActualWorkingHours"
"Attrition",1,-0.0186244089417596,-0.0344466173084542,-0.0262616290760871,0.0352982714755491,-0.0141531936841908,-0.00679118834779307,-0.00935454618482405,-0.0153135474870917,-0.0440964225048538,-0.0480979160524043,0.00318007492582447,0.00623722557201124,-0.0868753246447655,0.00681324314998304,-0.0603826947074015,0.0149992092265367,0.110314472327291,-0.046099885819266,-0.0141850580511918,-0.0181958317610388,0.0122832988365608,-0.00365505795843653,-0.00198257395300406,-0.0229936561971172,-0.0378046931047995,0.0293887327550025,-0.0134873331577086,0.000998169708776455,-0.0254010309286827,-0.0132274428814008,-0.000584432124905514,-0.0231650698460242,-0.0429106044881866,0.0445197143305479,0.0302772831981655,0.0113704832409101,-0.00810904333746454,-0.0852690991484083,0.171302680174667,0.0539333399569812,-0.0465057568266935,-0.0555217209853305,-0.0352897758351567,0.0470106371656532,0.0374490332680578,0.0459653812244157,-0.0169907575579363,0.037768974682876,-0.0230561950655446,0.0176438737071796,-0.00919803529910615,-0.0140437975911697,0.0196700374722509,0.0273360286194926,-0.0251784315170161,-0.0114345595162778,-0.0575152881846556,-0.000632302487612311,-0.0279033748254452,0.0193999460506562,-0.0134550054421017,-0.0137952050513845,0.0101167462970241,0.011675933914784,0.0285558809312894,-0.051283501681146,-0.0474398606495366,-0.0741371370641135,0.00956216240390622,-0.0674511227157293,0.0436665032687045,0.00147250377503118,-0.0700714553999554,-0.0871325741424542,-0.0254059507782093,-0.0400067295852633,-0.0293001022246964,-0.0271021130617864,-0.0680822461071206,-0.0839158827176705,-0.00566233977357943,-0.00478404223049432,0.0958851148563591,-0.0675128815168634,-0.127484241829248,0.195528778294136
"Gender",-0.0186244089417596,1,-0.0093419758977522,0.0541258562279947,0.0121497672666809,0.0170348091091063,-0.015615886858147,0.0259413890286808,0.0438571558158168,-0.00551363293498179,0.00870808301670039,-0.0348701937473821,0.0102200118295274,-0.00757920852653081,-0.0427045271446853,0.0591709517824625,-0.0169540894887338,-0.00399665078505408,0.0284323624684475,0.0082936744978042,-0.00364577286599107,-0.006841509778703,-0.00544951545450593,0.0321489536433806,-0.0026936609101252,-0.0189661660128146,0.0281308958945577,-0.0289535459788609,0.0203469901895611,0.020624935857155,-0.00490650060453057,-0.0116867506112173,0.0443308141928889,0.00528776041475179,0.003147003597378,-0.0313148615925896,0.00296466603340194,0.0125694712378163,0.0288247214293555,-0.00882817349342861,-0.0140701109930925,-0.0122016528296085,0.0238402737543436,0.0285368619525473,0.0107823366120893,0.0161311442539138,-0.0178844099887388,0.0407611040275244,0.0384839172748772,-0.0201397798955453,0.00858215790525638,-0.0172753926857219,-0.0684570147825606,0.00418179089557495,0.0395909627239195,0.00625599346408402,-0.00893487391376171,-0.000917803826499988,0.00986875909591622,-0.00318740311234753,-0.023771423691913,0.0111213795672236,-0.010692779745268,0.0546670673622398,0.0140042339085697,-0.0481492683450106,0.0380780467113628,0.00374677017151829,0.0259339768454127,-0.0422641415528421,0.0198951237458349,0.0129165747874846,-0.0404249034433637,-0.00155148912139273,0.00347130853560559,0.0353420141034151,0.00809805465058098,-0.0304045479769221,0.000836492569718525,0.0220867073518435,-0.00422284371918654,0.0116482558211805,0.00644252707824339,-0.0267048252334381,-0.00667102849574681,0.0435894138177815,0.00190737944615716
"MonthlyIncome",-0.0344466173084542,-0.0093419758977522,1,-0.0202508265141738,0.00152088646910176,0.0362505294805204,-0.0292847590700675,0.0102791408938142,0.0447073434380454,-0.0266775928698254,0.000240752584698509,-0.038508000380399,0.0509983037288976,-0.0178137915107791,-0.0248974542649093,0.00136562799208359,0.01630303446138,-0.0379572306619734,-0.0106861998423076,0.0557396601463194,-0.0439182668109605,0.00640946350440956,-0.0339297478810181,0.0242242094578741,0.00436220050403672,-0.0115772674507321,0.00625259065509387,-0.0122534063160566,0.0781200809167522,-0.00531089263033157,-0.0230504745720317,0.0164937855058722,-0.0137652492602291,0.043482954116985,-0.00131562384758761,-0.0126227743989127,0.00596098743287857,-0.0146279540750998,0.0101598309325649,-0.0538663217563478,0.0313032551048015,-0.00842520784369759,0.0442471898097869,-0.0723280627193288,-0.0321187824806545,0.0236355420520791,0.0073606554994478,-0.014478816647335,-0.0276547543474023,0.0370196511028603,0.018973411225211,0.0043878648167587,0.0278842626054592,-0.0110572024923999,-0.0144023450342164,-0.0528392220681805,0.0367729063398819,0.0695928321432534,-0.00158491114723753,0.0240277560043797,-0.00231595715090741,0.0401899607881825,-0.0245136600397926,-0.00866060861734637,0.0106681059441704,0.0124965887405198,-0.0147876430428723,0.018758039892285,-0.0039471775947729,-0.00497017471317849,0.0103863627369838,-0.0254148648396675,-0.000870539774564727,-0.0218353494816547,0.0321297993361461,-0.00628561372621962,0.0651104265994462,-0.000682439997967658,-0.0269963050485063,0.0565388991453823,-0.0189724075220107,-0.0104690600705498,-0.0230229435791402,-0.0277971898778536,0.00623529713182915,-0.00968953402775732,-0.0184630120117613
"PerformanceRating",-0.0262616290760871,0.0541258562279947,-0.0202508265141738,1,-0.0185029622787998,0.0278998792092741,-0.023443192308294,0.0673632460938073,0.0392960282728696,-0.00689640220954404,-0.015411945185221,0.00279064317648305,0.0358426107694171,-0.0621631536790776,-0.0339194725892433,0.054962568538438,-0.0246736598184944,0.00585043398547251,0.00810776331175165,-0.0282238557656715,0.0269219976202603,-0.0119430621557759,0.0210932735255675,-0.0138562585489803,-0.0127431883081209,0.0228624002706155,-0.0246102981898148,-0.0204731039950436,0.0327094607862002,0.00288365027826776,0.0440695809548045,-0.0176925486363298,-0.00498531734631174,0.0259228691959506,0.00901247278696399,0.0149013381147511,0.000278224184243834,-0.0417344780216297,-0.00241283887084842,-0.00308558452153537,0.019257816926097,0.00589964668187827,0.0429978309353108,0.0181039766607673,-0.0334037682291796,-0.00627417556852055,0.00708807430533694,-0.0372415223673481,-0.0218154425411611,-0.0110678007196966,0.0243412691674782,0.031635091206062,-0.0324337240186218,-0.00438848806840281,0.0294134339689321,-0.0203379240680241,0.0243239250807829,-0.0117545764246444,-0.00447742996068755,-0.00619320848122227,-0.000736973727171823,0.167934155953238,0.2652505882936,0.238187310523697,-0.224652413263305,-0.854190071106897,-0.00541118729732502,0.028515314539628,0.0208037351992724,-0.0353329762517479,0.0240448119285858,-0.0257465250561638,-0.0248422432319258,0.0281782029667067,-0.0297531710997238,-0.00556151599577126,0.0124132727211536,-0.00639107866569435,-0.022800751758019,-0.022290483871607,0.0351427695677182,-0.00962563457867577,-0.0325745674805618,-0.0113059654935626,-0.0207270700635137,0.0374826808004474,-0.00850930762021417
"Education2",0.0352982714755491,0.0121497672666809,0.00152088646910176,-0.0185029622787998,1,-0.387684049869107,-0.297103738726038,-0.0892513769001796,0.0110674477637641,-0.0236521228225118,0.0216830658313243,0.00523174158530402,0.0205503270689444,-0.0170236398120579,-0.00887336204265706,0.0262002792233621,-0.0156966977412499,-0.017907132876597,0.00788169320826104,-0.0301070714293764,0.0345031813490805,0.0216241493582509,-0.0317915858210078,0.0151623622573005,-0.0449713352699864,0.00311803362650806,-0.025994338953125,-0.0193938075062443,0.0206914208934776,0.00988431741188276,-0.0269603131017973,0.00793724343690638,-0.0144723742868575,-0.0114628959045429,-0.0545587161052763,-0.00208265048828426,0.0313141526315034,0.00995580715859455,0.00728821999903692,-0.00190931689750288,-0.00221089757012492,-0.0251544065831411,-0.00226349221945827,-0.00065589876878155,-0.0186692713672206,-0.00411797713614909,0.00126170585060861,0.0232799399934177,0.00803290378297884,0.035361616370329,-0.0364944999932117,-0.0147753647385855,0.0219877056261204,0.0398080431221401,-0.028084838412546,-0.0357121812385814,-0.0243899367604662,0.00470278745110073,0.0239519085337402,-0.047092223058953,0.0271087783811873,0.0408692877451422,0.0178190802841474,-0.0591708090188892,0.028854264168573,0.0230394754266539,-0.0294712907460199,-0.00928583755339379,0.0111237452873954,0.000179141464207246,-0.0494892596334268,0.0176763394532415,-0.03519081096445,-0.00748501592413881,0.00146393414166798,-0.000300191505853727,-0.0142657266700052,-0.00471808823835402,-0.0183283182346668,-0.0384013905318163,-0.0323279533767011,-0.0242166438736634,0.050991791762111,-0.0221295229705563,-0.00227505002982396,0.00147755834463214,0.0210101267556846
"Education3",-0.0141531936841908,0.0170348091091063,0.0362505294805204,0.0278998792092741,-0.387684049869107,1,-0.486621066290132,-0.146183283930589,-0.00703679013299814,-0.0137234680632317,0.0201615787431395,0.0113647240410259,-0.0284199433581868,-0.0062801503957928,-0.0251592753918559,0.0231874591367759,0.00659779255505643,-0.0063402068648576,0.0316126457555496,0.0108640531825688,-0.00892394878717236,0.0166193813182247,0.0196748240598774,-0.0253652218660782,0.00827123994361505,-0.0119380197133133,0.0475910381212027,0.0134691102006556,-0.0230697442965674,0.0224625881865446,0.00562522351643743,0.010025707891628,0.0297833759247775,0.0210220346102915,0.0435232213116966,-0.0389193793556038,-0.0301617900523439,-0.0240594232049777,-0.00737889501285954,0.0156015627893317,0.0347071441638729,-0.0316464003983424,0.0184487685551689,0.037774649592881,-0.0184572452687958,0.0541089211804595,0.00157653901323137,0.00867982541858846,-0.0560014290203293,-0.0301334772786919,-0.00150645904223709,0.0100057311534741,-0.0114713748141983,-0.0265109428202224,0.00114525850467413,0.00616576993799368,0.0256519297165191,0.0376356097720108,-0.039063920257021,0.0470223633406165,-0.0242961096451262,0.0292709934926277,-0.0187895688760765,0.00681980107968409,0.0228792641030644,-0.0441151893547774,0.032970373185643,0.0335898169027538,-0.0527636161367162,-0.016438859678516,0.00216177307931848,-0.043116928372081,-0.0127446958740142,0.0069811732271391,0.0296633108657706,-0.0115596460913123,0.0172030756555053,-0.0243699389589629,-0.0156521111003781,0.0347458910851878,0.00575447500971673,-0.028970151727158,0.0184429285811621,0.0425630627875564,0.0141188102374535,-0.0460501174497667,-0.00286271886973774
"Education4",-0.00679118834779307,-0.015615886858147,-0.0292847590700675,-0.023443192308294,-0.297103738726038,-0.486621066290132,1,-0.11202833908099,0.0172887831789557,0.0348332048562772,-0.0526587430628815,-0.0379434196859169,0.0318698316893203,0.0154260069764149,0.019784449926735,-0.0306947570455355,0.00472691770836446,0.0190675092628286,-0.0146687214174455,-0.00929033838940796,0.0068000961055343,0.00351256399900485,0.00940343197873277,-0.0174138851884117,0.0564157618234657,-0.0262265156663575,-0.00929843304338508,-0.00163460048766784,0.0422236703974957,-0.0163402776734226,0.0257986773165593,-0.0434106658635838,0.00983195530668809,-0.0151612377079267,0.0302881927797534,0.0152626052915369,0.0154958688539546,0.0216800661845116,0.00856800668699951,0.000683179564836657,-0.0304998809287933,0.0489764492220715,0.00407270401491023,-0.0443297079538928,0.0225432075322863,-0.0708309103548165,0.0264085077989874,-0.0184944161731234,0.0089171242383603,-0.00755309950422784,-0.00770105615112875,0.00467641123702446,0.0200094816235172,-0.0308629588632129,0.0256256228174779,0.0330495684468192,0.0134870019121514,-0.0498885163338508,0.000146964926718571,-0.0133672800918962,-0.00190859205051435,-0.0440683522639489,-0.0042928232595777,0.0201396322708849,-0.0179392736943032,0.0196664722385977,0.000311742471905839,-0.0180786258701354,0.0413349993812832,-0.00771125563302756,0.0264200487873247,0.0331697217963204,-0.0030300881212708,-0.0282696474671262,-0.00849077213392966,0.0106490396178557,-0.020244154760071,-0.00274587581926754,-0.013772878956742,0.00172456887418157,0.0200121782266947,0.0294666363004253,-0.0338451324039288,0.00793188215816159,-0.0400607535508783,0.0396411666569885,-0.00920157189107377
"Education5",-0.00935454618482405,0.0259413890286808,0.0102791408938142,0.0673632460938073,-0.0892513769001796,-0.146183283930589,-0.11202833908099,1,-0.00435235155849745,-0.00268294620371822,-0.0191130190055134,0.0206667829864328,-0.0348256743704874,-0.00689060751158044,0.0194420627573711,0.0162450650001702,-0.0284720493883367,-0.0111968167770631,-0.018284963471924,0.00993413193583359,-0.0186697779816085,-0.0332880476190566,-0.0389658463659162,0.0326348889875068,-0.0270806873573303,0.066614559599027,0.00575252185946507,0.0115165966655049,-0.0110495586905504,-0.00337806643488161,0.0281076880638402,-0.0435105931911997,0.0116688593163324,-0.0120663100195521,-0.0152837512974853,0.0230479437553475,-0.0130011225441731,0.0350558990634357,-0.0239517916467591,0.0112363639745912,0.00553358788363939,-0.00833498714804151,-0.000725440877815867,0.0217664134769899,-0.000150182224520717,0.0152446075010042,-0.0422919324131791,0.0250852983500641,0.00695312703562908,-0.00957545107891142,0.0329977566855163,0.0216172223154973,0.0133774528315392,-0.00803598204467893,0.0337367435019688,-0.00326084823241478,-0.0398153335577279,-0.0203147822975203,0.00616671190798906,0.0225491078501169,-0.0250460149334795,0.0354216969688323,-0.00887507474072599,-0.00392319552221303,0.0118033969858777,-0.0546242622903074,-0.00505804017772368,0.0256981464869279,0.00997383836042385,-0.0161763386608974,-0.00480813038617585,-6.52793561378544e-05,0.0610830573224211,-0.00678481114866014,-0.0217560212822856,-0.0169604759900707,0.0525982107374151,0.0171640687527685,0.0325122449895682,-0.00514297042303766,-0.0153390454329097,0.00763053262734334,-0.0233118184216309,-0.0139595592386958,0.00971658884314763,-0.0322521798058219,-0.0237213391787351
"EnvironmentSatisfaction2",-0.0153135474870917,0.0438571558158168,0.0447073434380454,0.0392960282728696,0.0110674477637641,-0.00703679013299814,0.0172887831789557,-0.00435235155849745,1,-0.32750775687774,-0.326254718714077,0.0185259979603265,-0.00878688716730937,-0.000361697245977632,0.0442463466726064,-0.0120838556800643,-0.0264607604781751,-0.0162903341358938,0.0370996462302519,-0.000852240205950313,0.00508169230908897,0.0195922437436101,-0.0367274768703559,-0.0115234190223495,0.00709080358560582,0.0207328885602184,-0.0560807136624017,0.0114192830487602,0.0292040473633305,0.0299732631871884,-0.0285732600041586,0.000457589026759328,-0.0100122863750372,0.0249742332358241,0.00296306494713541,0.00645086757577906,-0.00357227325842055,0.0254546768783053,0.037474762880873,-0.0221795068970349,0.0214307015150204,0.0111559383719971,0.00203097620749913,-0.0177540934398425,-0.0176318262705073,-0.0172872691348813,-0.00627373450038834,0.00161005330914006,-0.00646728339064978,-0.00132988271988525,0.00958237931363513,0.0030618224804895,0.0142471283588838,-0.00535143331315847,-0.0171279201901264,-9.91662374557039e-05,0.0269454006549268,-0.0116280436828588,0.0276623731477766,-0.0424929046207338,0.00800803315620821,0.0506482006653477,0.0354065060083106,-0.00332096427781038,-0.0299792278124873,-0.042577797552576,0.0583053674752103,0.0160429557057042,-0.0155811814443526,-0.0523006231523349,-0.00704657410641722,-0.0146618960336306,-0.0247681034104015,-0.00286346680417485,0.0305914144920164,-0.00536403233765396,0.0321031974880009,-0.0197180418133356,0.0084026519673503,0.0116000539584948,-0.00566606725090322,-0.0212764388103146,0.00818187446909492,-0.00148064308482539,0.0384427855097906,-0.0208214310320738,0.0115151510664858
"EnvironmentSatisfaction3",-0.0440964225048538,-0.00551363293498179,-0.0266775928698254,-0.00689640220954404,-0.0236521228225118,-0.0137234680632317,0.0348332048562772,-0.00268294620371822,-0.32750775687774,1,-0.440776092665212,0.000704462813436296,-0.0269708972505409,0.00959720792280336,-0.0193978185132992,0.0048569338131691,0.0312452466936674,-0.00536285782874746,-0.0231910642182873,-0.0286335339021938,0.0417572467025634,0.000297040728706153,0.0277240567916153,-0.00368332412677114,-0.0501605392495866,0.0339711882906891,0.0288940933462265,0.0260212955846935,-0.0213743931859441,-0.0589038023038423,-0.0115030490284438,-0.014837370282658,0.0303017486062605,0.0297563655473499,-0.00906317909887281,-0.0485524106218852,0.0203181481701026,-0.0129915493107702,0.0324117040820278,-0.034469708868285,0.0159444401245176,-0.0218874060578728,-0.033976654156154,-0.00851217190779225,0.0155394581450934,-0.0302350146442882,0.00100563719948829,-0.00354237180071294,0.0102079619766295,0.0194008390497829,-0.0615566996712322,0.0136072051400849,-0.0307442901763277,-0.0162464589518713,0.0252172582369525,0.0143640449446061,0.0108764864646373,0.0115792638438228,0.0131081695178235,0.00758997126531393,-0.0116066769721495,0.0118491582621429,-0.0020088795819117,0.0171880253702631,-0.0144929528304107,0.00376414409243905,-0.037207807703281,0.00686661222888167,0.021781586703246,0.0112923978504089,0.00708656903726296,-0.00394064835907318,-0.047430330573,0.0413753251002781,0.0112642116179919,0.00346784236924919,0.0210207569955286,-0.0151755115546559,0.024613897489646,0.0119330463551833,0.00183720608058236,0.0200207514184736,0.00392942608272798,0.0182793275450897,0.0129355237676112,-0.0177175429968058,-0.0007923132422241
