"","Attrition","Gender","MonthlyIncome","PerformanceRating","Education2","Education3","Education4","Education5","EnvironmentSatisfaction.0.19","EnvironmentSatisfaction.0.09","EnvironmentSatisfaction0.26","EnvironmentSatisfaction0.56","JobSatisfaction.0.4","JobSatisfaction0.028","JobSatisfaction0.43","WorkLifeBalance.0.1","WorkLifeBalance0.05","WorkLifeBalance0.87","BusinessTravelTravel_Frequently","BusinessTravelTravel_Rarely","DepartmentResearch...Development","DepartmentSales","EducationFieldLife.Sciences","EducationFieldMarketing","EducationFieldMedical","EducationFieldOther","EducationFieldTechnical.Degree","JobLevel2","JobLevel3","JobLevel4","JobLevel5","JobRoleHuman.Resources","JobRoleLaboratory.Technician","JobRoleManager","JobRoleManufacturing.Director","JobRoleResearch.Director","JobRoleResearch.Scientist","JobRoleSales.Executive","JobRoleSales.Representative","MaritalStatusMarried","MaritalStatusSingle","NumCompaniesWorked.0.33","NumCompaniesWorked.0.07","NumCompaniesWorked0.36","StockOptionLevel1","StockOptionLevel2","StockOptionLevel3","TrainingTimesLastYear1","TrainingTimesLastYear2","TrainingTimesLastYear3","TrainingTimesLastYear4","TrainingTimesLastYear5","TrainingTimesLastYear6","JobInvolvement2","JobInvolvement3","JobInvolvement4","PercentSalaryHike12","PercentSalaryHike13.14","PercentSalaryHike15.18","PercentSalaryHike19.20","PercentSalaryHike21","TotalWorkingYears10.12","TotalWorkingYears13.16","TotalWorkingYears17.22","TotalWorkingYears23.","YearsAtCompany15.","YearsAtCompany2","YearsAtCompany3.4","YearsAtCompany5.8","YearsAtCompany9.14","YearsSinceLastPromotion1.3","YearsSinceLastPromotion4.","YearsWithCurrManager1.2","YearsWithCurrManager3","YearsWithCurrManager4.8","YearsWithCurrManager9.","DistanceFromHome11.","DistanceFromHome3.10","Age26.33","Age34.37","Age38.","ActualWorkingHours"
"Attrition",1,-0.018541053456779,-0.0317806879117136,-0.0241643066606809,0.0358895360424547,-0.0134929261405182,-0.00816605843309926,-0.00763772361860321,-0.0429188000467391,-0.0162899238853937,0.00799799529374551,0.120935653782975,-0.0853864444313793,0.00948200391429852,0.0911173431887893,-0.056118809238667,0.0100216363158709,0.0995420280449422,0.114522984358457,-0.0491731269114115,-0.0149185787927352,-0.0191276420852754,0.0126684998917358,-0.00366751074022254,0.000309131359125187,-0.0259116404977623,-0.0405977961542993,0.0339287378228841,-0.0159934032252711,-0.000548395575071082,-0.0185315127375992,-0.0138105326358069,0.000501327161336335,-0.0177306936064671,-0.0448611126716919,0.0477215974549306,0.0276726770068348,0.0113113265207959,-0.0105946991592897,-0.0911301770431663,0.17489179384115,0.00885316288011309,-0.0352636969401134,0.0780279028308498,-0.0244255072348892,0.0155655896217148,-0.00550385623337446,-0.0124253676675948,0.020818560050443,0.0273289176999785,-0.0248680717691868,-0.0143976031538923,-0.0579717784358772,-0.00152523356375432,-0.0272735448371257,0.0178132013964703,-0.0100141865042515,-0.0133281812019577,0.010638031766297,0.012327682902259,0.0263897717314323,-0.0513334141953588,-0.0480781882251209,-0.0754094536841642,0.0114728822997345,-0.0679928476482246,0.0431263717867416,0.00358289159903035,-0.0864526014748803,-0.0680898854308436,-0.0252231447372945,-0.0433372732946348,-0.027113498639211,-0.0257788754431806,-0.0684799827303775,-0.0846146030197796,-0.0053059713479046,-0.00361436541509477,0.0967222222043444,-0.0618438281734471,-0.132379355371491,0.197578724108127
"Gender",-0.018541053456779,1,-0.00946376702622566,0.0520839836901455,0.0139943372052013,0.0174743302137377,-0.0152017454765447,0.0218473995361906,-0.000989891580013464,0.0442137181850905,-0.0247053467141757,-0.0479635921217817,-0.0092105042292874,-0.0164157813727979,0.0326131842483846,0.0510663621888148,-0.041494003115997,-0.0238065201068984,-0.00321802708432864,0.0300113025758107,0.0115099976012022,-0.00764791552021072,-0.00569858552579075,-0.00278247978276247,0.0301474760776368,-0.00491309047524215,-0.0185642576599444,0.0262115620648822,-0.023861838621378,0.0192682983463643,0.0222826717759437,-0.0060731138669698,-0.0130416726746533,0.0447795831615053,0.00489631850487362,0.000751931692799193,-0.030803655386712,0.00565443981990538,0.00958592941884885,0.0345609149051613,-0.0117226101123137,-0.0184103714201898,0.0128821366396657,0.0411957221900946,-0.0187448742973645,0.00709121417072063,-0.017935018973784,-0.0674893440238753,0.00285646854583998,0.039319566991866,0.00528414349561454,-0.00756662865556424,0.000843981740543832,0.00877065074093924,-0.00278642903709676,-0.021001043146752,0.011843179064405,-0.0123776854780788,0.0556124923879833,0.0125982640541931,-0.0455592545874945,0.0383929432047366,0.00443058718079544,0.0248985058216519,-0.0429682897492142,0.018189501266774,0.0107995754069586,-0.0431706152027977,-0.00240768473057614,0.00778794059555686,0.0340706546516022,0.00568820671206579,-0.0346581964427713,0.00210971895883382,0.0205640884308343,-0.00216098999178803,0.0127500720004421,0.00993919994063189,-0.0231065103675286,-0.00561485572099558,0.040694110849207,0.00468506066286324
"MonthlyIncome",-0.0317806879117136,-0.00946376702622566,1,-0.0155352467137386,-0.00234346313722502,0.0393022503312158,-0.0286178020214927,0.0062856202748369,-0.0213972827874465,0.043927604341838,0.00781226833020444,-0.0158634860740127,-0.0152382040869285,0.0169229691182521,0.000351860551212444,0.0107809540973927,-0.023048426091465,0.0197639141468165,-0.0374173476592579,-0.00990873889496219,0.053748434636597,-0.0421026608805261,0.00452686094914443,-0.0356381264293,0.0275553555800888,-1.09120733909515e-06,-0.0084898037593398,0.00921094955025801,-0.0125883965013508,0.0780178330808151,-0.0034271382648882,-0.024425963116486,0.0136295816530781,-0.008681532918153,0.0398119398334927,4.68716819616025e-05,-0.0128862908835008,0.00739850352961685,-0.0118217602238707,0.0117135572359018,-0.0518824420390579,-0.00623800200142522,0.0137686086910798,-0.0197959963230895,0.0312809722986514,0.0173736554468746,0.0012974863248324,0.0248373483537889,-0.0155002135019255,-0.0102194674335647,-0.0557126066933142,0.0384026125763143,0.0756925959042333,-0.00486363901082131,0.0265287568680621,-0.00723113968465045,0.0443772862718154,-0.0234133593453527,-0.0100326386685291,0.0105509678147448,0.00900484133942614,-0.0120180993752408,0.0176515907403211,-0.00732956183310564,-0.0047385785706125,0.00801787414899478,-0.0234250974562965,0.00279594029537949,-0.015464536793333,0.0320306847643844,-0.00572689031655648,0.066411082428957,-0.000434453503176958,-0.0240520568710525,0.0540812610975181,-0.0189696653328223,-0.0138550680374915,-0.0207749173875083,-0.0256451430582125,0.00778302726844347,-0.0112219954678649,-0.0159630982861829
"PerformanceRating",-0.0241643066606809,0.0520839836901455,-0.0155352467137386,1,-0.0211301366191168,0.0294902720256038,-0.0241992840641868,0.0677232999144416,-0.00560476822483076,0.0398906655810782,-0.00134130490152282,-0.0117815255276517,-0.0590373155925073,0.0342442617867726,0.0255831724825046,0.042987852145949,-0.0335845534340018,-0.0230504951829803,0.00698765822001307,0.00929749403130471,-0.031905409285681,0.0304421372443114,-0.0111070170190297,0.0208148150073225,-0.0144373402282403,-0.0115600763200518,0.0216396664206226,-0.0267178163413165,-0.0189658040337632,0.0312647250559463,0.00534442704502487,0.0407672341216428,-0.0167389441653183,-0.00247251069385435,0.0261700360565541,0.0103187313076191,0.0182367934090484,-0.00292865543962855,-0.0407374318882643,-0.00461270358963267,-0.00347895448394627,0.0184394225131248,0.0603363377026428,-0.0405714711722196,-0.0166541760932266,0.0257459442389035,0.0328218139304752,-0.0360680211164194,-0.00724202794036901,0.0335272712409485,-0.0196669694743267,0.0223769544545333,-0.0098278056986383,-0.00628896164173811,-0.00613837741025641,0.000428765301026897,0.168108272862712,0.264867717844213,0.238013735892584,-0.231222550367883,-0.850796001110725,-0.00557692239322283,0.0295710628332829,0.0232350716294257,-0.0367456271517397,0.0254571003242756,-0.0302036796682752,-0.0230586692058331,0.000295108074289598,-0.0058185529818608,-0.00760716478186731,0.0148890047699763,-0.0106197109816327,-0.0210864060689817,-0.0198968357501554,0.0368668159147417,-0.0110067983294779,-0.0329591561338789,-0.0113798437678863,-0.0165168690688421,0.0355292467089107,-0.00818711537596659
"Education2",0.0358895360424547,0.0139943372052013,-0.00234346313722502,-0.0211301366191168,1,-0.388773221313571,-0.296927787930736,-0.089655492231815,-0.0195606872649035,0.00908107355672671,-0.00614112777287547,-0.0117950485208062,-0.0213047224847023,0.0208230504994895,-0.00890619689787453,0.019801980953354,-0.0104621584878831,-0.0175352789644979,-0.0179548644142486,0.00683498566844505,-0.0307842975830966,0.035739510986766,0.0212080406449165,-0.0307772947795735,0.0177618106176847,-0.0432748953283883,-0.00208197640696586,-0.02400217543714,-0.0233324142175198,0.0176989099896552,0.00614623845408812,-0.0279302499267279,0.011198946473815,-0.0175832599587879,-0.00958753919656671,-0.0557194536854813,-0.00461413190453816,0.0311137019168183,0.0059629264369392,0.0061467400425279,-0.00436565684096491,-0.00570200118812263,-0.0183894506590234,0.00416800096117246,0.0369762140173773,-0.0350487857980141,-0.0171868212911678,0.0190953789654178,0.0390214924985883,-0.0264434622050624,-0.0343553291324645,-0.0240190051275197,0.00492268100654651,0.0240631473214404,-0.0504613140930062,0.031534592133734,0.0357216351416515,0.0172570770339772,-0.0610027904423247,0.0354889328529758,0.0214058140432792,-0.0256492448299491,-0.0099104085587259,0.0101042907982033,-0.00125145676275072,-0.0515027214674621,0.0160985696407147,-0.0358497487715805,-0.00757197743511303,0.00629567790079201,0.000707235560616103,-0.0107560634467718,-0.00220874063764586,-0.0183956145149341,-0.0374795135899078,-0.0353150570961863,-0.023851831708808,0.0514813491929606,-0.0207409537671178,-0.00333442706455307,0.00313497766068205,0.0182580467459851
"Education3",-0.0134929261405182,0.0174743302137377,0.0393022503312158,0.0294902720256038,-0.388773221313571,1,-0.485794092551412,-0.146682494065408,-0.0138365408207297,-0.00545412360847248,0.00794257233355155,0.00103438459368885,-0.00370659249149421,-0.0179022490354368,0.030156477278165,0.0280917098669832,-0.0244898119263981,-0.0121709142153433,-0.00750399726125426,0.0347631506691959,0.0151788204641621,-0.0135881015190914,0.0118761255521483,0.0188241471532413,-0.0230763304500152,0.00682027749210367,-0.00644241921261763,0.0468568838921566,0.0198392568429333,-0.0227388680381685,0.0209675755631617,0.00592668926466248,0.00745376920236505,0.0348826983980096,0.0204431439361168,0.041306892020924,-0.0403535834565159,-0.0289746648823081,-0.0190336586302968,-0.0102855312908534,0.0181994471654546,0.0185789630751236,0.0489543879417676,-0.00402488624210962,-0.0318763221978638,-0.00284549657571126,0.0116959047313605,-0.0104453738837396,-0.0264487754791628,-0.000273870399342232,0.00728249161118207,0.0249516829597809,0.0376430369849299,-0.0384619411720955,0.0488869023984328,-0.029110153495255,0.0320208733649102,-0.0176998430509096,0.00870536955139668,0.0199596328439882,-0.0446165667114593,0.0345102021931877,0.0352086183710905,-0.0551275531351301,-0.0170353432512304,0.00225667967418344,-0.0416440342330299,-0.0141645536627997,0.0209924197282071,0.0158648252805153,-0.0104521466484389,0.0146598396918069,-0.0262682049434048,-0.0171256690847678,0.0339401214459636,0.00904810072457694,-0.0307624101043172,0.0200752507493258,0.040794776764756,0.0162802961896939,-0.0457718591628633,-0.0012840610877285
"Education4",-0.00816605843309926,-0.0152017454765447,-0.0286178020214927,-0.0241992840641868,-0.296927787930736,-0.485794092551412,1,-0.112029600042528,0.030489722314615,0.0170279094950566,-0.0188195486919265,0.0059710796107278,0.0150407379151315,0.00464745609081872,-0.017713772195162,-0.035404724067038,0.0209003446123788,0.0210373098900474,0.0204778396416798,-0.0181923931619941,-0.010292078912267,0.00717578009182738,0.00481770840764326,0.00972990751555013,-0.0207889935152297,0.0588361693323589,-0.0253180612951591,-0.0103379634537823,-0.00390631069294128,0.0433441593679805,-0.012122977108421,0.0242938381714381,-0.044949642572433,0.00842535879856016,-0.0170312087082347,0.0300645080205628,0.0191321273610775,0.0167414841197673,0.0174904858266711,0.0112621397507497,-0.000333281667371876,-0.0167072915528852,-0.0232943351278618,-0.0127927177564001,-0.0060279564360982,-0.00826214110427929,0.00654928213231974,0.019917994677584,-0.0306922883512762,0.0267172439646981,0.0290103517178881,0.0143661476733233,-0.0485845352574136,-0.00138065070511423,-0.0128367428317441,0.000624008638074583,-0.0471489646707117,-0.00347998356628644,0.0224136257290578,-0.0185687174676309,0.0218922713738055,-0.00253931426229434,-0.019696254204831,0.0429075804733602,-0.00548875064268306,0.0252342670057853,0.0361811327935473,-0.00132181002928533,-0.0479962049235772,0.0155543880512411,0.0114971583351321,-0.0226914116151236,-0.00193629098669788,-0.0116878933928783,0.000334368165000467,0.0180730103706662,0.0307699608832506,-0.0332251730437027,0.00678612939701548,-0.0402623540564454,0.0386937711537179,-0.01062373575006
"Education5",-0.00763772361860321,0.0218473995361906,0.0062856202748369,0.0677232999144416,-0.089655492231815,-0.146682494065408,-0.112029600042528,1,-0.000204029809865429,-0.00294037775244189,0.0030930773728591,0.0272007036658808,-0.00459074082162927,-0.0192746074813613,0.0253209868852414,0.00104314628657849,0.0171334453560515,-0.0271655831602042,-0.0102070396579011,-0.0173996217034903,0.0050065880932757,-0.0130936853260847,-0.029295667251419,-0.0394728752326749,0.0317469791237843,-0.0280722653678238,0.0626798043992585,0.00446398738353961,0.0094638733468528,-0.00693047378971277,-0.00466339123766381,0.0269093539912455,-0.0447039867598998,0.00998132132602539,-0.00916489543027087,-0.0102576873197207,0.0234709278775813,-0.0152659133594363,0.0381369316729818,-0.0228109083175764,0.0134084527183722,0.00737001173918438,0.0100303661852837,-1.28622128721222e-05,-0.0113741212302159,0.0351496365441888,0.0199890527315344,0.0120855257652053,-0.00677122352035432,0.0320423507363705,-3.77892654856495e-05,-0.0405100576742033,-0.0208291235834319,0.00651054891340499,0.020678227493522,-0.0219253280366557,0.0396397612815852,-0.0118127672325899,-0.00377250378433278,0.00958950054925859,-0.0546993265565151,-0.00809632411308091,0.0240374483704668,0.0118740902856579,-0.0158558142607273,-0.00183171186432694,-0.00211772113499169,0.0647202214663726,-0.0119452058676799,-0.0237556183870769,-0.019998553731281,0.0510642755741904,0.0192343183799044,0.0308497392025966,-0.0057616827087503,-0.0164928873858476,0.00430749716372906,-0.0220086665534103,-0.0144994643595023,0.0105098484683465,-0.0333300218147231,-0.0222295152975154
"EnvironmentSatisfaction.0.19",-0.0429188000467391,-0.000989891580013464,-0.0213972827874465,-0.00560476822483076,-0.0195606872649035,-0.0138365408207297,0.030489722314615,-0.000204029809865429,1,-0.325635685175937,-0.05019733133771,-0.32350319350451,0.00662862432250929,-0.0245386889390295,0.0183810452815858,0.0285157858862048,-0.0209014784225812,-0.0155556096858992,-0.005963541497058,-0.0204698774337053,-0.0326984906937002,0.0451380229220863,0.00241132381930414,0.0269721140255215,-0.00437790920647378,-0.0521375968913463,0.0323880915140472,0.029317596854667,0.0265449427173608,-0.0215740017682504,-0.0567200455453696,-0.00998960964637869,-0.0179957270818219,0.0336189071823585,0.0311190518818274,-0.00902874933432684,-0.0482991446080305,0.0201358833137146,-0.0126245036991774,0.0352128243968299,-0.033023319955644,0.0164292594213045,-0.0246560411019374,-0.00687504725124479,0.0130317327206794,-0.0585336523806216,0.0125626616059583,-0.0326054747006171,-0.0204338431633804,0.0234809725109398,0.0190343587388749,0.0145384003407848,0.0159075510508462,0.0124150978183862,0.00955770942105204,-0.0131292124858972,0.00938922989219855,-0.00279716981495334,0.0180033910861171,-0.012593834411272,0.00246224225114161,-0.0346809481004604,0.00429676369189357,0.021317256555157,0.0105281419788886,0.00722834689509996,-0.00808528302653718,-0.0444596525851343,0.0538428215733664,-0.00825972722895192,0.000695097390760464,0.0221459748628397,-0.0134606353695717,0.0254452044554442,0.0118363466838684,0.00269547431731394,0.0177694712267969,0.00758056309959564,0.0226544945076388,0.0105545683882076,-0.0185536723914822,0.000137839963675773
"EnvironmentSatisfaction.0.09",-0.0162899238853937,0.0442137181850905,0.043927604341838,0.0398906655810782,0.00908107355672671,-0.00545412360847248,0.0170279094950566,-0.00294037775244189,-0.325635685175937,1,-0.037060737521322,-0.238842715783445,-0.00194326101375718,0.00589310201699659,-0.0067915362817688,-0.0302779495817767,0.0456486539326172,-0.0211109974202234,-0.0171657350072623,0.0388769560705085,0.00166852208756556,0.00257162554248768,0.0184530021538465,-0.0378177709101593,-0.0089241567367233,0.0058061923250167,0.0205850410715864,-0.0560740321421328,0.0104071516448335,0.0296730940050854,0.0295384998115792,-0.0287118403098502,-0.00304444999436912,-0.0119975677238198,0.0217732959875976,0.00932701605971975,0.0103856125343357,-0.00603295742158228,0.0297453108974899,0.0411297803339371,-0.0235231550636194,-0.0059844000801115,0.0188658712214338,-0.0208516078133889,-0.00207718030988125,0.00802394026891785,0.00387755551393017,0.0153114617369231,-0.00271477282730843,-0.0174253426140154,-0.00235314799321291,0.0252982368823279,-0.0128839828555941,0.0291927062446973,-0.0417757143547858,0.0047648501621425,0.0522974342191025,0.0335648572748117,-0.00125428410712988,-0.0325960076299775,-0.041344368510654,0.0570621961560467,0.016593774326456,-0.0160399356695508,-0.0516907634209811,-0.00461235374526503,-0.0160367740123837,-0.0237027535912901,0.00323022298852412,0.027107698897583,-0.00530473163836579,0.0313575705950116,-0.0203751436904524,0.00744293109019075,0.0109034672944238,-0.00395364302936088,-0.0192757540253341,0.00541213431202903,-0.00753092387234162,0.0432195987235649,-0.0205932711474464,0.0102175648637162
"EnvironmentSatisfaction0.26",0.00799799529374551,-0.0247053467141757,0.00781226833020444,-0.00134130490152282,-0.00614112777287547,0.00794257233355155,-0.0188195486919265,0.0030930773728591,-0.05019733133771,-0.037060737521322,1,-0.0368180377261246,0.0212170390396082,-0.00149516004677305,-0.0219995842080977,-0.00427073184747827,0.00868375548318328,-0.00477140277288308,-0.00548342764560679,0.0150502844248121,0.0105301640738036,-0.00387414068228348,0.0166290469273284,0.00282421986830219,-0.0122965663263188,-0.00523031783585746,-0.00263599647975054,0.0120495162780481,0.0109769906167522,-0.00941659925458655,-0.0167919954283576,0.00186134946333174,0.0286151149189891,0.00311140218097488,-0.00461322248397225,-0.0181125359389939,-0.0149633624350965,-0.00400029984274069,0.00775160841050416,-0.00874227883646921,-2.5032485266855e-05,-0.00497704951639158,-0.0277583149255331,0.0207764838072316,0.011490554669471,-0.0067052222312512,-0.0187450580207161,-0.00295780931276141,0.00438483391637281,0.016906253364667,-0.0118624057430313,-0.000246906857897397,-0.0162310253719749,-0.0165346034900145,-0.00469547268426559,0.0157839088136554,0.0144457457447825,-0.00654021087188281,0.000372690608409661,0.00813749720894543,-0.0085197068834939,-0.00483148230089222,0.00352650347839003,-0.00103408906093222,0.00596468602507794,-0.00665596383850787,0.0304881034910546,-0.0250283985120685,-0.00339797484414912,-0.00707163123926503,-0.0164979710011683,0.0112316001503531,-0.014395453884142,-0.00418620317363377,-0.00115962099812298,-0.00757821631147302,0.00300520933931196,-0.0204297126807565,0.0152037256118324,0.00270071047057769,-0.00961736898485,0.00151623712581464
"EnvironmentSatisfaction0.56",0.120935653782975,-0.0479635921217817,-0.0158634860740127,-0.0117815255276517,-0.0117950485208062,0.00103438459368885,0.0059710796107278,0.0272007036658808,-0.32350319350451,-0.238842715783445,-0.0368180377261246,1,-0.0184318888002564,0.0271707013550341,-0.0100813365638778,-0.0172900247580117,-0.00194060307311907,0.0335303303885855,0.0251209275743662,-0.0265878807902169,0.0185164601341456,-0.0190929724824171,-0.0322445117552646,0.0455299616498739,0.0156781178237052,0.0171430901390054,-0.0321552826021574,0.0448227665421106,-0.00848955307313949,-0.00219417893880838,0.00627723457616664,0.00962351084554963,0.0175345448077259,-0.00835709617360329,-0.0171606386210385,-0.00976460996111682,0.020244346817329,0.00366104903190231,-0.00640749583333315,-0.0176480732058887,0.0195331760634217,-0.00566657226357104,0.0115278660803302,0.00446597908042182,-0.0189566836659383,0.0489917170578723,-0.0170514486994699,0.011166152634417,0.0167951595564324,-0.030939360844135,0.00129161626805934,-0.0238586323996323,0.0106720094980906,-0.0179392812055712,0.0218048199850479,-0.010980585639406,-0.0755939213814588,0.000891407049297086,0.00299825060492606,0.0377095332781172,0.0126167738570294,0.00910908172885359,-0.00971650943924847,-0.0106498249290982,0.0212512999625548,0.0195517901727124,0.0306503414284823,0.0583708163570162,-0.0650974464530252,-0.0180732713885148,-0.0237271961937829,-0.0397817399554904,0.033914183428007,0.00330095454649478,-0.0555453415415448,0.0345349949077558,-0.00588022711416458,-0.00427387242341312,-0.0053535183116401,-0.0312364619284612,0.0141449614872352,-0.0648799381805626
"JobSatisfaction.0.4",-0.0853864444313793,-0.0092105042292874,-0.0152382040869285,-0.0590373155925073,-0.0213047224847023,-0.00370659249149421,0.0150407379151315,-0.00459074082162927,0.00662862432250929,-0.00194326101375718,0.0212170390396082,-0.0184318888002564,1,-0.657100273062135,-0.330446916977104,-0.0510376547127298,0.0558407236850859,-0.00677918469596999,0.0224630821629531,-0.00932763321130264,-0.026142895406749,0.0220407442458539,0.0349306227666724,0.0316911344954895,-0.0389040729097434,-0.024160421957105,0.000305418752967885,-0.00300348791501714,-0.0339013851507796,0.0215723193967674,0.0180922558069378,0.0467981862049294,-0.020723921518364,-0.00368484545189903,0.00497331106823039,0.0148970662826437,-0.019312062241365,0.00233661889056301,0.000172800184102739,-0.0312126729672733,0.0347350756016704,0.000801845526730004,0.0417766611647138,-0.0621856051935014,-0.000319873013485295,0.0242600244406938,-0.0275225321835525,-0.00930100823783077,0.00739222378443425,0.0129617181535928,-0.022791690068963,-0.000749116940793135,-0.00758688085562976,-0.0468786882765281,0.0508502307230204,-0.0126889077807865,0.0418319737805921,-0.0312897930479177,-0.0435325268042976,-0.01703888830161,0.0697838037605603,-0.00297555149272462,0.047584168057681,-0.0356564763855787,0.00100129337805104,-0.0387262272208845,0.0154252575404871,-0.0388517067618163,-0.00357545424466187,0.0713361101177113,0.024953556431882,-0.00638368607536231,0.00599205144174396,-0.0108322644595006,0.0276129972871965,-0.0176109506026547,-0.0212838151333832,0.0141016485616891,0.0198776752584251,0.0138610089581717,-0.0230709392279674,0.0441951666792685
"JobSatisfaction0.028",0.00948200391429852,-0.0164157813727979,0.0169229691182521,0.0342442617867726,0.0208230504994895,-0.0179022490354368,0.00464745609081872,-0.0192746074813613,-0.0245386889390295,0.00589310201699659,-0.00149516004677305,0.0271707013550341,-0.657100273062135,1,-0.482950330748867,0.0303277284666308,-0.029306144006656,-0.00217296988440148,-0.0094366718367045,-0.0199483355439024,0.0110726569304457,-0.00246273684233788,-0.0421874426547754,-0.00391404591683176,0.0386747874401377,-0.00101426975857569,0.00159493356388365,0.00819182989829158,0.0244262771565887,-0.0470219507277056,-0.0137553285342274,-0.0280791416017151,0.0129255680167538,0.00552918626148251,0.0112561999155184,0.0158784487714832,0.0134983760557534,0.00369542385293276,-0.0403928580935453,0.0331770170139421,-0.018757879469875,-0.00213448819478874,-0.00991224620763441,0.0221282879687997,0.00466478671138654,0.0121554908500126,0.0604634060879155,0.0331545474096347,0.00193000315490192,-0.00589224114954028,0.0102110325378781,-0.0273393403133831,-0.00672785613282497,0.0389461116864466,-0.0575138844287027,0.0242511859561511,-0.0725556419114322,0.0394381460072381,0.0353195946871465,0.00872457172716022,-0.0345247956668428,-0.0444058521032575,-0.00413759371895834,0.000744795528680038,0.0290080466876324,0.0275759264972889,0.013500679359811,-0.00529295523644063,0.0157391493115377,-0.0528017883554958,-0.00542453324183983,-0.0057991469389168,0.0223586585157045,-0.00725999659108134,-0.020770001172159,-0.0108790791195227,0.0281502740262723,-0.023648189311925,-0.0288972146068089,-0.00843101617038412,0.0232940206491043,-0.0422369670965828
"JobSatisfaction0.43",0.0911173431887893,0.0326131842483846,0.000351860551212444,0.0255831724825046,-0.00890619689787453,0.030156477278165,-0.017713772195162,0.0253209868852414,0.0183810452815858,-0.0067915362817688,-0.0219995842080977,-0.0100813365638778,-0.330446916977104,-0.482950330748867,1,0.0189328825709416,-0.0259788333602836,0.0108655650759505,-0.0146483610892984,0.0362732221102148,0.014218192393191,-0.0212716802301346,0.00688943598303491,-0.0280390183976416,-0.000523622748226662,0.0272628209093392,-0.000765813598472448,-0.00174049563885077,0.0103126798485998,0.0351016506452874,-0.00392443526677922,-0.020094618287897,0.0101639643063762,-0.00179222386270921,-0.0239155107597412,-0.0371788369168529,0.00691862360058612,-0.0067781390904306,0.0510383454084532,-0.00754089413972107,-0.0114635338738367,0.00251027845025751,-0.0361266818636391,0.0448811716428917,-0.00538268516920547,-0.0433487421286141,-0.0437316290231212,-0.0310341825788647,-0.0129071300960983,-0.0068547377309201,0.0130258959346393,0.0345380644892092,0.0197936039828131,0.00441396628508186,0.0106386074167892,-0.0119955202621644,0.0404830201179881,-0.0124833030437974,0.00592909421778405,0.00643793803116875,-0.0337264598356921,0.0588188161660335,-0.0463538769318853,0.0432428774270801,-0.0427726940309455,0.00882712294411628,-0.0355623523774819,0.0539243659569001,-0.0131569319615667,-0.018168917521564,-0.0202400170251128,0.0138869242852664,-0.0342633961931378,0.0255314506706475,-0.00780512553277317,0.0365008456593152,-0.00936892514936469,0.0125043536037189,0.0134219908688456,-0.00594993907916651,-0.00424349448566,0.00662559029521303
