EmployeeID,Age,Attrition,DistanceFromHome,MonthlyIncome,Education2,Education3,Education4,Education5,EnvironmentSatisfaction2,EnvironmentSatisfaction3,EnvironmentSatisfaction4,JobSatisfaction2,JobSatisfaction3,JobSatisfaction4,WorkLifeBalance2,WorkLifeBalance3,WorkLifeBalance4,BusinessTravelTravel_Frequently,BusinessTravelTravel_Rarely,DepartmentResearch...Development,DepartmentSales,EducationFieldLife.Sciences,EducationFieldMarketing,EducationFieldMedical,EducationFieldOther,EducationFieldTechnical.Degree,dummy_Gender,JobLevel2,JobLevel3,JobLevel4,JobLevel5,JobRoleHuman.Resources,JobRoleLaboratory.Technician,JobRoleManager,JobRoleManufacturing.Director,JobRoleResearch.Director,JobRoleResearch.Scientist,JobRoleSales.Executive,JobRoleSales.Representative,MaritalStatusMarried,MaritalStatusSingle,NumCompaniesWorked1,NumCompaniesWorked2,NumCompaniesWorked3,NumCompaniesWorked4,NumCompaniesWorked5,NumCompaniesWorked6,NumCompaniesWorked7,NumCompaniesWorked8,NumCompaniesWorked9,StockOptionLevel1,StockOptionLevel2,StockOptionLevel3,TrainingTimesLastYear1,TrainingTimesLastYear2,TrainingTimesLastYear3,TrainingTimesLastYear4,TrainingTimesLastYear5,TrainingTimesLastYear6,JobInvolvement2,JobInvolvement3,JobInvolvement4,dummy_PerformanceRating,PercentSalaryHike15.17,PercentSalaryHike18.22,PercentSalaryHike23.,TotalWorkingYears10,TotalWorkingYears11.13,TotalWorkingYears14.19,TotalWorkingYears2.6,TotalWorkingYears26.,YearsAtCompany12.14,YearsAtCompany15.19,YearsAtCompany20.21,YearsAtCompany22.,YearsAtCompany3.5,YearsAtCompany6.11,YearsSinceLastPromotion11.,YearsSinceLastPromotion3.7,YearsSinceLastPromotion8.10,YearsWithCurrManager12.,YearsWithCurrManager3.6,YearsWithCurrManager7.11
1,51,No,6,131160,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,31,Yes,10,41890,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
3,32,No,17,137756,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
4,38,No,2,83210,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
5,32,No,10,23420,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
6,46,No,8,40710,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
7,28,Yes,11,58130,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,29,No,18,31430,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,31,No,1,20440,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
10,25,No,7,134640,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
