crime_rate,residential_land,nitric_oxides,avg_room,weighted_distances,property_tax,pupil_teacher,corporate_proportion,lower_status,homes_under_1000,radial_highwaysfar,radial_highwaysfarthest
3.53501,0,0.871,6.152,1.7455,403,14.7,229.606,15.02,15.6,1,0
0.34006,0,0.624,6.458,2.1185,437,21.2,395.04,12.6,19.2,1,0
0.07978,40,0.447,6.482,4.1403,254,17.6,396.9,7.19,29.1,1,0
0.77299,0,0.538,6.495,4.4547,307,21,387.94,12.8,18.4,1,0
0.33045,0,0.507,6.086,3.6519,307,17.4,376.75,10.88,24,0,1
0.1029,30,0.428,6.358,7.0355,300,16.6,372.75,11.22,22.2,1,0
20.7162,0,0.659,4.138,1.1781,666,20.2,370.22,23.34,11.9,0,1
0.08308,0,0.488,5.604,2.9879,193,17.8,391,13.98,26.4,0,0
0.1146,20,0.464,6.538,3.9175,223,18.6,394.96,7.73,24.4,0,0
0.05059,0,0.449,6.389,4.7794,247,18.5,396.9,9.62,23.9,0,0
0.3494,0,0.544,5.972,3.1025,304,18.4,396.24,9.97,20.3,1,0
14.4208,0,0.74,6.461,2.0026,666,20.2,229.606,18.05,9.6,0,1
0.2498,0,0.624,5.857,1.6686,437,21.2,392.04,21.32,13.3,1,0
0.04011,45,0.404,7.287,7.309,329,12.6,396.9,4.08,33.3,0,0
19.6091,0,0.671,7.313,1.3163,666,20.2,396.9,13.44,15,0,1
0.06617,0,0.46,5.868,5.2146,430,16.9,382.44,9.97,19.3,1,0
0.14866,0,0.52,6.727,2.7778,384,20.9,394.76,9.42,27.5,1,0
0.08447,0,0.51,5.859,2.7019,296,16.6,393.23,9.64,22.6,1,0
0.06664,0,0.51,6.546,3.1323,296,16.6,390.96,5.33,29.4,1,0
0.03427,0,0.515,5.869,5.2311,224,20.2,396.9,9.8,19.5,1,0
0.54011,20,0.647,7.203,2.1121,264,13,392.8,9.59,33.8,1,0
0.03049,45,0.484,6.874,6.4654,370,17.6,387.97,4.61,31.2,1,0
3.67367,0,0.583,6.312,3.9917,666,20.2,388.62,10.58,21.2,0,1
3.83684,0,0.77,6.251,2.2955,666,20.2,350.65,14.19,19.9,0,1
0.02177,45,0.415,7.61,6.27,348,14.7,395.38,3.11,42.3,0,0
0.03659,25,0.426,6.302,5.4007,281,19,396.9,6.72,24.8,1,0
5.66998,0,0.631,6.683,1.3567,666,20.2,375.33,3.73,50,0,1
12.0482,0,0.614,5.648,1.9512,666,20.2,291.55,14.1,20.8,0,1
0.52014,20,0.647,8.398,2.2885,264,13,386.86,5.91,48.8,1,0
0.59005,0,0.624,6.372,2.3274,437,21.2,385.76,11.12,23,1,0
0.57529,0,0.507,8.337,3.8384,307,17.4,385.91,2.47,41.7,0,1
9.72418,0,0.74,6.406,2.0651,666,20.2,385.96,19.52,17.1,0,1
2.924,0,0.605,6.101,2.2834,403,14.7,240.16,9.81,25,1,0
5.44114,0,0.713,6.655,2.3552,666,20.2,355.29,17.73,15.2,0,1
0.20746,0,0.609,5.093,1.8226,711,20.1,318.43,29.68,8.1,1,0
25.02166,0,0.679,5.957,1.8026,666,20.2,229.606,20.62,8.8,0,1
0.2896,0,0.585,5.39,2.7986,391,19.2,396.9,21.14,19.7,1,0
0.12932,0,0.437,6.678,5.9604,289,16,396.9,6.27,28.6,1,0
5.82115,0,0.713,6.513,2.8016,666,20.2,393.82,10.29,20.2,0,1
0.14932,25,0.453,5.741,7.2254,284,19.7,395.11,13.15,18.7,0,1
