Newspaper,Sales
69.2,22.1
45.1,10.4
69.3,9.3
58.5,18.5
58.4,12.9
75,7.2
23.5,11.8
11.6,13.2
1,4.8
21.2,10.6
24.2,8.6
4,17.4
65.9,9.2
7.2,9.7
46,19
52.9,22.4
114,12.5
55.8,24.4
18.3,11.3
19.1,14.6
53.4,18
23.5,12.5
49.6,5.6
26.2,15.5
18.3,9.7
19.5,12
12.6,15
22.9,15.9
22.9,18.9
40.8,10.5
43.2,21.4
38.6,11.9
30,9.6
0.3,17.4
7.4,9.5
8.5,12.8
5,25.4
45.7,14.7
35.1,10.1
32,21.5
31.6,16.6
38.7,17.1
1.8,20.7
26.4,12.9
43.3,8.5
31.5,14.9
35.7,10.6
18.5,23.2
49.9,14.8
36.8,9.7
34.6,11.4
3.6,10.7
39.6,22.6
58.7,21.2
15.9,20.2
60,23.7
41.4,5.5
16.6,13.2
37.7,23.8
9.3,18.4
21.4,8.1
54.7,24.2
27.3,15.7
8.4,14
28.9,18
0.9,9.3
2.2,9.5
10.2,13.4
11,18.9
27.2,22.3
38.7,18.3
31.7,12.4
19.3,8.8
31.3,11
13.1,17
89.4,8.7
20.7,6.9
14.2,14.2
9.4,5.3
23.1,11
22.3,11.8
36.9,12.3
32.5,11.3
35.6,13.6
33.8,21.7
65.7,15.2
16,12
63.2,16
73.4,12.9
51.4,16.7
9.3,11.2
33,7.3
59,19.4
72.3,22.2
10.9,11.5
52.9,16.9
5.9,11.7
22,15.5
51.2,25.4
45.9,17.2
49.8,11.7
100.9,23.8
21.4,14.8
17.9,14.7
5.3,20.7
59,19.2
29.7,7.2
23.2,8.7
25.6,5.3
5.5,19.8
56.5,13.4
23.2,21.8
2.4,14.1
10.7,15.9
34.5,14.6
52.7,12.6
25.6,12.2
14.8,9.4
79.2,15.9
22.3,6.6
46.2,15.5
50.4,7
15.6,11.6
12.4,15.2
74.2,19.7
25.9,10.6
50.6,6.6
9.2,8.8
3.2,24.7
43.1,9.7
8.7,1.6
43,12.7
2.1,5.7
45.1,19.6
65.6,10.8
8.5,11.6
9.3,9.5
59.7,20.8
20.5,9.6
1.7,20.7
12.9,10.9
75.6,19.2
37.9,20.1
34.4,10.4
38.9,11.4
9,10.3
8.7,13.2
44.3,25.4
11.9,10.9
20.6,10.1
37,16.1
48.7,11.6
14.2,16.6
37.7,19
9.5,15.6
5.7,3.2
50.5,15.3
24.3,10.1
45.2,7.3
34.6,12.9
30.7,14.4
49.3,13.3
25.6,14.9
7.4,18
5.4,11.9
84.8,11.9
21.6,8
19.4,12.2
57.6,17.1
6.4,15
18.4,8.4
47.4,14.5
17,7.6
12.8,11.7
13.1,11.5
41.8,27
20.3,20.2
35.2,11.7
23.7,11.8
17.6,12.6
8.3,10.5
27.4,12.2
29.7,8.7
71.8,26.2
30,17.6
19.6,22.6
26.6,10.3
18.2,17.3
3.7,15.9
23.4,6.7
5.8,10.8
6,9.9
31.6,5.9
3.6,19.6
6,17.3
13.8,7.6
8.1,9.7
6.4,12.8
66.2,25.5
8.7,13.4
