Radio,Sales,Predicted
37.8,22.1,16.9661
39.3,10.4,17.26985
45.9,9.3,18.60635
41.3,18.5,17.67485
10.8,12.9,11.4986
48.9,7.2,19.21385
32.8,11.8,15.9536
19.6,13.2,13.2806
2.1,4.8,9.73685
2.6,10.6,9.8381
5.8,8.6,10.4861
24,17.4,14.1716
35.1,9.2,16.41935
7.6,9.7,10.8506
32.9,19,15.97385
47.7,22.4,18.97085
36.6,12.5,16.7231
39.6,24.4,17.3306
20.5,11.3,13.46285
23.9,14.6,14.15135
27.7,18,14.92085
5.1,12.5,10.34435
15.9,5.6,12.53135
16.9,15.5,12.73385
12.6,9.7,11.8631
3.5,12,10.02035
29.3,15,15.24485
16.7,15.9,12.69335
27.1,18.9,14.79935
16,10.5,12.5516
28.3,21.4,15.04235
17.4,11.9,12.8351
1.5,9.6,9.61535
20,17.4,13.3616
1.4,9.5,9.5951
4.1,12.8,10.14185
43.8,25.4,18.1811
49.4,14.7,19.3151
26.7,10.1,14.71835
37.7,21.5,16.94585
22.3,16.6,13.82735
33.4,17.1,16.0751
27.7,20.7,14.92085
8.4,12.9,11.0126
25.7,8.5,14.51585
22.5,14.9,13.86785
9.9,10.6,11.31635
41.5,23.2,17.71535
15.8,14.8,12.5111
11.7,9.7,11.68085
3.1,11.4,9.93935
9.6,10.7,11.2556
41.7,22.6,17.75585
46.2,21.2,18.6671
28.8,20.2,15.1436
49.4,23.7,19.3151
28.1,5.5,15.00185
19.2,13.2,13.1996
49.6,23.8,19.3556
29.5,18.4,15.28535
2,8.1,9.7166
42.7,24.2,17.95835
15.5,15.7,12.45035
29.6,14,15.3056
42.8,18,17.9786
9.3,9.3,11.19485
24.6,9.5,14.2931
14.5,13.4,12.24785
27.5,18.9,14.88035
43.9,22.3,18.20135
30.6,18.3,15.5081
14.3,12.4,12.20735
33,8.8,15.9941
5.7,11,10.46585
24.6,17,14.2931
43.7,8.7,18.16085
1.6,6.9,9.6356
28.5,14.2,15.08285
29.9,5.3,15.36635
7.7,11,10.87085
26.7,11.8,14.71835
4.1,12.3,10.14185
20.3,11.3,13.42235
44.5,13.6,18.32285
43,21.7,18.0191
18.4,15.2,13.0376
27.5,12,14.88035
40.6,16,17.5331
25.5,12.9,14.47535
47.8,16.7,18.9911
4.9,11.2,10.30385
1.5,7.3,9.61535
33.5,19.4,16.09535
36.5,22.2,16.70285
14,11.5,12.1466
31.6,16.9,15.7106
3.5,11.7,10.02035
21,15.5,13.5641
42.3,25.4,17.87735
41.7,17.2,17.75585
4.3,11.7,10.18235
36.3,23.8,16.66235
10.1,14.8,11.35685
17.2,14.7,12.7946
34.3,20.7,16.25735
46.4,19.2,18.7076
11,7.2,11.5391
0.3,8.7,9.37235
0.4,5.3,9.3926
26.9,19.8,14.75885
8.2,13.4,10.9721
38,21.8,17.0066
15.4,14.1,12.4301
20.6,15.9,13.4831
46.8,14.6,18.7886
35,12.6,16.3991
14.3,12.2,12.20735
0.8,9.4,9.4736
36.9,15.9,16.78385
16,6.6,12.5516
26.8,15.5,14.7386
21.7,7,13.70585
2.4,11.6,9.7976
34.6,15.2,16.3181
32.3,19.7,15.85235
11.8,10.6,11.7011
38.9,6.6,17.18885
0,8.8,9.3116
49,24.7,19.2341
12,9.7,11.7416
39.6,1.6,17.3306
2.9,12.7,9.89885
27.2,5.7,14.8196
33.5,19.6,16.09535
38.6,10.8,17.1281
47,11.6,18.8291
39,9.5,17.2091
28.9,20.8,15.16385
25.9,9.6,14.55635
43.9,20.7,18.20135
17,10.9,12.7541
35.4,19.2,16.4801
33.2,20.1,16.0346
5.7,10.4,10.46585
14.8,11.4,12.3086
1.9,10.3,9.69635
7.3,13.2,10.78985
49,25.4,19.2341
40.3,10.9,17.47235
25.8,10.1,14.5361
13.9,16.1,12.12635
8.4,11.6,11.0126
23.3,16.6,14.02985
39.7,19,17.35085
21.1,15.6,13.58435
11.6,3.2,11.6606
43.5,15.3,18.12035
1.3,10.1,9.57485
36.9,7.3,16.78385
18.4,12.9,13.0376
18.1,14.4,12.97685
35.8,13.3,16.5611
18.1,14.9,12.97685
36.8,18,16.7636
14.7,11.9,12.28835
3.4,11.9,10.0001
37.6,8,16.9256
5.2,12.2,10.3646
23.6,17.1,14.0906
10.6,15,11.4581
11.6,8.4,11.6606
20.9,14.5,13.54385
20.1,7.6,13.38185
7.1,11.7,10.74935
3.4,11.5,10.0001
48.9,27,19.21385
30.2,20.2,15.4271
7.8,11.7,10.8911
2.3,11.8,9.77735
10,12.6,11.3366
2.6,10.5,9.8381
5.4,12.2,10.4051
5.7,8.7,10.46585
43,26.2,18.0191
21.3,17.6,13.62485
45.1,22.6,18.44435
2.1,10.3,9.73685
28.7,17.3,15.12335
13.9,15.9,12.12635
12.1,6.7,11.76185
41.1,10.8,17.63435
10.8,9.9,11.4986
4.1,5.9,10.14185
42,19.6,17.8166
35.6,17.3,16.5206
3.7,7.6,10.06085
4.9,9.7,10.30385
9.3,12.8,11.19485
42,25.5,17.8166
8.6,13.4,11.0531
