loan_status,Charged Off,,,,,,,,,,,,
,,,,,,,,,,,,,
Count of id,Column Labels,,,,,,,,,,,,
Row Labels,< 1 year,1 year,10+ years,2 years,3 years,4 years,5 years,6 years,7 years,8 years,9 years,n/a,Grand Total
A,78,49,142,50,56,44,50,28,19,21,21,44,602
B,159,127,318,150,127,121,116,76,74,55,32,70,1425
C,163,106,304,135,139,97,110,79,69,46,40,59,1347
D,125,89,274,115,122,94,90,62,41,42,31,33,1118
E,80,47,171,82,70,64,58,41,36,28,23,15,715
F,23,26,94,30,27,32,27,16,20,8,10,6,319
G,11,12,28,5,14,10,7,5,4,3,1,1,101
Grand Total,639,456,1331,567,555,462,458,307,263,203,158,228,5627
,,,,,,,,,,,,,
loan_status,Charged Off,,,,,,,,,,,,
,,,,,,,,,,,,,
Count of id,Column Labels,,,,,,,,,,,,
Row Labels,MORTGAGE,OTHER,OWN,RENT,Grand Total,,,,,,,,
 36 months,1181,17,252,1777,3227,,,,,,,,
 60 months,1146,1,191,1062,2400,,,,,,,,
Grand Total,2327,18,443,2839,5627,,,,,,,,
